runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,79545,537838,0.0,0.9273408,0.92734087,0.40270588,0.4411862,2944.0,0.55512774,0.0,0.0,-1.0,5.0,55788.59,59754.59,1,3,0,2,28,31,1,3,0,2,30,32,1798,0.9399264500761276,0.7128040724655459
410000,53672,537838,1.5850656e-10,0.0,0.0,0.38495436,0.45284733,2573.0,0.33953118,-0.13343701,1.1414369,1.617,7.0,51519.35,41145.32,1,0,0,5,30,32,1,0,0,6,32,35,1203,0.999789353479909,0.5142301930702331
410000,53801,537838,1.8982288e-10,0.0,0.0,0.45536897,0.5009069,1831.0,0.27104813,0.0,0.0,-1.0,8.0,88374.91,94945.19,1,1,4,6,31,42,1,1,4,6,35,47,1011,0.9279254500264388,0.40806604841392435
410000,67383,537838,1.5585377e-10,1.0060236,1.0061587,0.4470423,0.48650932,1870.0,0.11527085,0.0,0.0,-1.0,10.0,61079.62,63469.13,1,2,0,2,34,31,1,2,0,2,35,32,927,0.9438764788713659,0.7491902430005886
410000,53489,537838,1.3813622e-10,0.33321995,0.33321995,0.46253407,0.5029276,3926.0,0.13186336,0.0,0.0,-1.0,6.0,199580.64,202881.27,0,0,1,8,17,36,0,0,1,11,19,37,1829,0.7225719018030226,0.9432920268992367
410000,54850,537838,1.7676033e-10,0.8799287,0.92614037,0.47517866,0.5274446,1968.0,2.4395566,3.491,3.491,3.491,10.0,42619.938,45880.1,2,1,0,12,18,36,2,1,0,12,21,39,905,0.58197349253132,0.8233858294223154
410000,57018,537838,3.9406062e-10,0.0,0.0,0.471558,0.52577245,3634.0,0.2054241,0.36494908,5.051249,8.675304,5.0,351610.97,326936.8,5,2,1,10,13,35,5,2,1,10,14,37,1901,0.6944462870987056,0.743980988484398
410000,57219,537838,4.0616165e-12,0.8446771,0.8466763,0.46854377,0.50815636,3372.0,0.3372581,0.0,0.0,-1.0,6.0,216593.0,218949.58,2,2,0,10,13,39,2,2,0,13,13,40,1633,0.44424371649624017,0.8928525363352372
410000,21109,537838,2.2447368e-10,0.0,0.0,0.3772802,0.45586127,2578.0,0.32842344,0.0,0.0,-1.0,7.0,183153.0,183535.11,4,3,0,9,22,37,4,3,0,12,22,38,1109,0.8063173418812786,0.5897912584565991
410000,21188,537838,2.554245e-10,0.6711324,0.6711324,0.38119498,0.43148562,1968.0,0.80932564,0.0,0.0,-1.0,9.0,50425.316,102995.33,2,5,3,11,33,34,2,6,5,14,40,38,1032,0.8706170712583305,0.7240895433495148
410000,64268,537838,0.0,0.0,0.0,0.5188097,0.55462223,2889.0,0.19428563,-1.2127159,2.2484574,0.4,11.0,118763.586,124395.85,3,3,2,6,11,33,3,3,2,7,12,33,1459,0.7112861641606948,0.9185431887731089
410000,5881,537838,1.7312218e-10,0.4431806,0.4431806,0.4133929,0.46967825,3600.0,0.068796515,0.0,0.0,-1.0,8.0,84028.0,88370.73,0,0,0,10,17,31,0,0,0,10,17,31,1817,0.6390803279637055,0.9536101098020666
410000,54400,537838,3.8150483e-11,0.0,0.0,0.45645317,0.4917702,2544.0,0.06810713,-2.24,2.24,-2.24,5.0,82377.16,84669.09,1,0,1,9,9,35,1,0,1,10,9,37,1535,0.46651974054456946,0.4110584156400302
410000,76949,537838,1.6506335e-10,0.5081013,0.543101,0.54452705,0.5778893,3931.0,0.25963336,0.0,0.0,-1.0,5.0,160649.9,130824.21,1,3,0,12,27,36,1,3,0,13,29,38,2188,0.5730032707720734,0.9299208569988204
410000,57436,537838,0.0,0.0,0.0,0.43631154,0.47444135,2902.0,0.050714493,0.0,0.0,-1.0,7.0,70661.39,74404.09,4,1,3,11,17,34,4,1,3,11,20,38,1549,0.46204698815112566,0.7217726793510549
410000,142883,537838,1.5861762e-10,0.0,0.0,0.46107155,0.52222306,3634.0,0.055582523,0.0,0.0,-1.0,6.0,83416.734,90348.39,0,0,0,6,8,40,0,0,0,6,8,41,1342,0.12357245018897967,0.876090859872697
410000,77916,537838,1.51629e-10,0.0,0.0,0.5376833,0.5833877,4292.0,0.13082743,0.0,0.0,-1.0,6.0,171396.89,151123.2,1,1,1,4,27,34,1,1,1,4,28,35,2096,0.8723353736676729,0.9632903439806476
