runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,79545,537838,0.0,0.071428575,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0930219,0.0,55788.59,59754.59,1,3,0,2,28,31,1,3,0,2,30,32,1798,0.9399264500761276,0.7128040724655459
410000,53672,537838,1.5850656e-10,0.16666667,0.0,76.55522,9.569402,10.421652,14.855704,0.0,0.061619233,12.197928,0.0,20.123354,0.0,3.7166796,0.0,2.3895473,0.0,51519.35,41145.32,1,0,0,5,30,32,1,0,0,6,32,35,1203,0.999789353479909,0.5142301930702331
410000,53801,537838,1.8982288e-10,0.19354838,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373925,0.0,88374.91,94945.19,1,1,4,6,31,42,1,1,4,6,35,47,1011,0.9279254500264388,0.40806604841392435
410000,67383,537838,1.5585377e-10,0.05882353,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.086524,0.0,61079.62,63469.13,1,2,0,2,34,31,1,2,0,2,35,32,927,0.9438764788713659,0.7491902430005886
410000,53489,537838,1.3813622e-10,0.47058824,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9321532,0.0,199580.64,202881.27,0,0,1,8,17,36,0,0,1,11,19,37,1829,0.7225719018030226,0.9432920268992367
410000,54850,537838,1.7676033e-10,0.6666667,18.670101,3.3120098,3.3120098,3.3120098,3.3120098,0.0,0.19299997,0.0,0.0,-0.099995576,0.0,0.7250145,0.0,0.8038938,0.0,42619.938,45880.1,2,1,0,12,18,36,2,1,0,12,21,39,905,0.58197349253132,0.8233858294223154
410000,57018,537838,3.9406062e-10,0.7692308,0.0,29.09115,4.1558785,4.7725196,8.008337,4.6128426,0.0,2.068447,0.08050863,1.609076,0.0,-0.0034046946,8.008337,2.7851794,0.0,351610.97,326936.8,5,2,1,10,13,35,5,2,1,10,14,37,1901,0.6944462870987056,0.743980988484398
410000,57219,537838,4.0616165e-12,0.7692308,18.296478,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9988346,0.0,216593.0,218949.58,2,2,0,10,13,39,2,2,0,13,13,40,1633,0.44424371649624017,0.8928525363352372
410000,21109,537838,2.2447368e-10,0.4090909,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85941905,0.0,183153.0,183535.11,4,3,0,9,22,37,4,3,0,12,22,38,1109,0.8063173418812786,0.5897912584565991
410000,21188,537838,2.554245e-10,0.33333334,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2640476,0.0,50425.316,102995.33,2,5,3,11,33,34,2,6,5,14,40,38,1032,0.8706170712583305,0.7240895433495148
