runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
410000,57121,537838,5.389582113934921e-10,0.1304347813129425,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81465482711792,0.0,21113.9140625,20534.212890625,3,23,17,10,3,6,3,24,18,11,3,6,1949
410000,81007,537838,1.665174942377945e-10,0.10000000149011612,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6487668752670288,0.0,55594.046875,56188.296875,1,10,22,6,1,4,5,15,25,6,1,4,1655
410000,79759,537838,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7024526596069336,0.0,63838.17578125,66685.234375,4,10,19,7,2,5,4,13,24,9,3,6,2000
410000,79792,537838,0.0,0.2380952388048172,14.72950553894043,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436783790588379,0.0,291023.625,296893.46875,5,21,23,5,10,17,8,27,28,5,11,19,2682
410000,49333,537838,2.0609659812098613e-10,0.4285714328289032,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5715487003326416,0.0,30626.3125,27513.546875,6,14,16,12,0,2,9,16,16,12,0,2,2921
410000,126691,537838,0.0,0.29411765933036804,12.961462020874023,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.614853620529175,0.0,58175.3359375,59108.09375,5,17,21,8,1,2,5,19,23,8,1,2,1443
410000,117239,537838,5.0479824313665045e-12,0.7916666865348816,12.541056632995605,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9825379848480225,0.0,162675.546875,149681.1875,19,24,17,15,2,6,24,27,21,15,3,7,3805
410000,71191,537838,4.783706417099687e-11,0.1428571492433548,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9710687398910522,0.0,33988.8359375,37453.17578125,2,14,16,4,1,0,3,16,17,5,1,0,2690
410000,83180,537838,1.7246257200120851e-10,0.4516128897666931,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4976953268051147,0.0,109185.765625,113002.15625,14,31,22,2,3,0,15,33,23,2,4,1,1967
410000,86624,537838,0.0,1.100000023841858,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6111152172088623,0.0,62433.4375,92739.2578125,22,20,18,17,1,7,26,22,19,18,2,7,2455
