runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
483398,1678470021,0,1.0,0.0,0.0,0.3387504518032074,0.4161260426044464,2286.0,0.943024218082428,0.0593128427863121,2.557544469833374,4.851024150848389,6.0,18678.83203125,24803.615234375,1,2,2,7,47,42,1,2,2,8,48,43,1315
483398,1857943313,0,1.0,0.8199597001075745,0.8199597001075745,0.29904890060424805,0.37839335203170776,2116.0,0.4902800917625427,-0.26481544971466064,0.26481544971466064,-0.26481544971466064,5.0,10987.0576171875,60112.91796875,6,0,1,9,47,43,6,0,1,13,51,46,1139
483398,1864143850,0,1.0,0.0,0.0,0.32785162329673767,0.3991113007068634,1942.0,1.95841383934021,2.574862241744995,3.028174877166748,4.761673927307129,3.0,29772.6875,39039.78515625,11,2,3,5,43,43,11,2,3,7,45,46,1076
483398,2138614755,0,1.0,0.0,0.0,0.39541730284690857,0.45160654187202454,2035.0,2.275954484939575,0.0,0.0,-1.0,3.0,21523.078125,25614.310546875,6,1,2,3,43,37,6,1,2,6,48,39,1066
483398,134499232,0,1.0,0.0,0.0,0.3265724182128906,0.4112056791782379,1995.0,0.9160759449005127,-0.4442431926727295,3.254251003265381,2.675945997238159,3.0,24727.939453125,96099.84375,5,3,3,7,40,38,5,3,3,8,48,43,996
483398,1736568276,0,1.0,0.0,0.0,0.3390255868434906,0.3942047655582428,2354.0,0.363361656665802,0.0,0.0,-1.0,3.0,0.0,56708.57421875,7,6,1,10,45,36,7,6,1,17,47,39,1122
483398,1067284377,0,1.0,0.0,0.0,0.37295064330101013,0.43530839681625366,1864.0,0.0709841251373291,0.0,0.0,-1.0,4.0,38033.37890625,46729.7890625,6,5,5,6,37,38,6,5,5,9,41,43,976
483398,2252573935,0,1.0,0.0,0.0,0.3571520745754242,0.42472320795059204,2184.0,2.5384578704833984,1.2470945119857788,1.2470945119857788,1.2470945119857788,3.0,32268.751953125,44115.32421875,8,1,4,13,58,38,8,1,4,14,59,38,1200
483398,352020559,0,1.0,0.0,0.0,0.4804879426956177,0.5353447794914246,1637.0,1.0706521272659302,1.2503292560577393,3.1608269214630127,6.003968238830566,3.0,39553.984375,43712.765625,8,2,4,13,36,37,8,2,4,21,47,39,927
483398,2337500998,0,1.0,0.0,0.0,0.42295387387275696,0.48018312454223633,2230.0,1.5799388885498047,-3.0876009464263916,5.265755653381348,0.6933661103248596,3.0,36439.70703125,30233.86328125,6,3,1,5,42,40,6,3,1,12,46,45,1090
483398,2308575618,0,1.0,0.0,0.0,0.378473162651062,0.476143479347229,2294.0,0.44348299503326416,0.0,0.0,-1.0,4.0,15951.431640625,44962.33984375,7,14,2,14,42,42,7,14,2,15,43,43,1083
483398,2466234839,0,1.0,0.0,0.0,0.3009297847747803,0.38254493474960327,2975.0,0.3037858009338379,2.2553341388702393,5.132458209991455,10.20913028717041,4.0,39208.9296875,21528.42578125,6,2,3,9,46,40,6,2,3,11,48,43,1433
