runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
410000,49333,537838,2.0609659812098613e-10,0.0,0.0,0.3001673221588135,0.3727026581764221,4034.0,1.948995590209961,0.0,0.0,-1.0,5.0,30626.3125,27513.546875,6,14,16,12,0,2,9,16,16,12,0,2,2921
410000,126691,537838,0.0,0.0,0.0,0.19666512310504913,0.2337857186794281,2043.0,0.30988940596580505,0.0,0.0,-1.0,6.0,58175.3359375,59108.09375,5,17,21,8,1,2,5,19,23,8,1,2,1443
410000,117239,537838,5.0479824313665045e-12,0.0,0.0,0.23938682675361633,0.311039537191391,5240.0,0.14150738716125488,0.0,0.0,-1.0,6.0,162675.546875,149681.1875,19,24,17,15,2,6,24,27,21,15,3,7,3805
410000,71191,537838,4.783706417099687e-11,0.0,0.0,0.3089677393436432,0.3444240689277649,3802.0,0.6433744430541992,0.0,0.0,-1.0,9.0,33988.8359375,37453.17578125,2,14,16,4,1,0,3,16,17,5,1,0,2690
410000,86624,537838,0.0,0.0,0.0,0.3101992905139923,0.35105621814727783,3370.0,0.06353271007537842,0.0,0.0,-1.0,5.0,62433.4375,92739.2578125,22,20,18,17,1,7,26,22,19,18,2,7,2455
410000,83180,537838,1.7246257200120851e-10,0.9020437598228455,0.9061258435249329,0.23980069160461426,0.2949100732803345,2742.0,0.0525965690612793,0.0,0.0,-1.0,8.0,109185.765625,113002.15625,14,31,22,2,3,0,15,33,23,2,4,1,1967
410000,8955,537838,1.4683197713249996e-10,0.15926864743232727,0.15926864743232727,0.38263818621635437,0.49754810333251953,4670.0,0.5451382398605347,-0.8162221908569336,2.7926533222198486,1.9708871841430664,9.0,175062.640625,186621.828125,7,36,53,1,0,2,8,37,53,1,1,5,3314
410000,76540,537838,5.817017440651329e-12,0.0,0.0,0.2813756465911865,0.3315373361110687,3497.0,0.38072669506073,0.0,0.0,-1.0,4.0,74905.5703125,60275.83984375,4,8,25,9,1,4,4,9,26,9,1,4,2679
410000,22848,537838,1.5695870991816463e-10,0.09343413263559341,0.09343413263559341,0.3209398686885834,0.38138285279273987,4111.0,0.26572680473327637,0.0,0.0,-1.0,6.0,71902.5546875,78426.515625,8,15,19,5,2,4,13,17,22,5,2,4,2919
410000,8750,537838,3.4944686033711037e-12,0.0,0.0,0.2304316908121109,0.28184905648231506,3328.0,0.01738893985748291,-2.564861536026001,2.564861536026001,-2.564861536026001,6.0,192192.65625,230879.78125,7,19,18,6,1,2,8,19,19,14,1,2,2521
410000,110312,537838,1.7520304651519325e-10,0.0,0.0,0.19240278005599976,0.23538894951343536,3403.0,1.2048214673995972,2.6689999103546143,2.6689999103546143,2.6689999103546143,3.0,32777.5390625,45511.828125,3,23,16,2,2,2,3,24,17,3,2,2,2586
