runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
484016,296193806,0,1.0,0.0,0.0,0.43559324741363525,0.5064826011657715,2407.0,1.5028825998306274,0.5099701881408691,2.8377344608306885,6.220635414123535,3.0,28021.625,34877.046875,5,31,17,13,16,20,5,31,17,13,16,20,1509
484979,1306750720,0,1.0,0.0,0.0,0.25521838665008545,0.3400144577026367,1645.0,0.2810544967651367,0.07778714597225189,3.9651923179626465,6.70592737197876,4.0,28333.556640625,67106.28125,13,10,23,12,13,9,15,10,24,14,13,9,826
484979,916281578,0,1.0,0.0,0.0,0.19831199944019318,0.25354546308517456,2314.0,2.0765326023101807,-0.3726862370967865,6.643505096435547,7.256781578063965,5.0,23833.01953125,28487.90625,16,14,17,14,21,15,20,16,18,18,22,16,1246
482727,2144257612,0,1.0,0.0,0.0,0.16868549585342407,0.2512234151363373,2189.0,0.15957260131835938,0.0,0.0,-1.0,3.0,29318.740234375,38201.609375,11,19,17,10,8,18,15,19,18,12,9,19,967
482727,3014457539,0,1.0,0.0,0.0,0.22901651263237,0.290807843208313,2320.0,0.254452109336853,2.7283434867858887,5.557441234588623,12.022910118103027,5.0,36004.94140625,38747.21875,13,25,24,10,15,13,15,26,25,15,18,15,1361
480188,1399273314,0,1.0,0.0,0.0,0.2543702721595764,0.31790095567703247,3757.0,0.010215997695922852,-4.564389705657959,5.000333786010742,-1.683637261390686,5.0,26151.15625,63808.65625,11,16,27,10,11,11,15,18,29,10,11,12,2310
477048,47736797,0,1.0,0.0,0.0,0.24334028363227844,0.2840276062488556,2807.0,0.9278043508529663,0.1578945368528366,2.960111379623413,3.1158525943756104,3.0,29170.18359375,28664.5546875,13,27,20,4,13,12,21,29,25,7,13,13,1674
484953,751991482,0,1.0,0.0,0.0,0.3028101623058319,0.373899906873703,1337.0,1.1711679697036743,0.0,0.0,-1.0,4.0,0.0,20975.369140625,18,11,18,8,22,22,22,15,19,8,22,23,808
484354,2366522585,0,1.0,0.0,0.0,0.2884833514690399,0.37383392453193665,2304.0,1.2575275897979736,0.0,0.0,-1.0,3.0,33222.25,76207.5703125,13,20,26,16,17,18,13,20,26,21,19,22,1459
484354,2374499188,0,1.0,0.0,0.0,0.2598167061805725,0.305326372385025,1738.0,0.22820019721984863,-3.026624917984009,7.082154273986816,3.0641870498657227,6.0,22811.8203125,35830.4140625,13,10,16,11,4,10,16,11,20,15,4,10,1032
484354,3556450297,0,1.0,0.0,0.0,0.17450225353240967,0.23312649130821228,2249.0,0.47569936513900757,-0.3092457354068756,4.454663276672363,8.831552505493164,4.0,30845.984375,32893.90234375,11,19,16,16,19,20,12,21,20,19,22,22,1110
484354,3599039572,0,1.0,0.0,0.0,0.19005180895328522,0.26840850710868835,1492.0,0.8351144790649414,0.0,0.0,-1.0,3.0,29072.02734375,49492.47265625,12,19,18,5,16,10,14,19,21,6,17,11,1058
484354,1069481024,0,1.0,0.0,0.0,0.23451407253742218,0.28694555163383484,2969.0,2.351632833480835,0.0,0.0,-1.0,4.0,22539.953125,31500.224609375,9,19,20,3,15,15,9,19,20,3,16,15,1692
486224,2979139013,0,1.0,0.0,0.0,0.1815451830625534,0.20917202532291412,1871.0,0.20829534530639648,0.05128827691078186,1.9317216873168945,4.70585298538208,3.0,27354.296875,62188.38671875,12,13,16,11,13,2,12,16,18,11,13,2,845
486224,1580962689,0,1.0,0.6373533606529236,0.6373533606529236,0.2463536113500595,0.37713003158569336,1872.0,0.16801147162914276,-0.6992167234420776,2.467888116836548,2.5204668045043945,6.0,33549.41796875,23061.111328125,6,23,16,6,18,18,6,23,16,6,19,21,920
