runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
410000,57912,537838,0.0,0.5357142686843872,8.061323165893555,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9844021797180176,0.0,33608.265625,42921.1640625,0,1,3,15,28,31,0,1,4,17,33,32,1571
410000,44689,537838,1.7781645600400964e-10,0.095238097012043,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.138427257537842,0.0,51627.58984375,54527.875,1,4,1,2,21,36,1,4,2,2,21,36,1471
410000,142883,537838,1.5861761903934735e-10,0.75,27.16599464416504,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.481283187866211,0.0,83416.734375,90348.390625,0,0,0,6,8,40,0,0,0,6,8,41,1342
410000,120767,537838,2.0336017592104128e-10,0.8500000238418579,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.203278064727783,0.0,155310.140625,159873.1875,1,1,0,17,20,39,1,1,0,21,22,42,1251
410000,83926,537838,1.5404967579346618e-10,0.3333333432674408,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4291844367980957,0.0,130772.9375,131940.078125,2,1,1,6,18,35,2,1,1,6,20,36,1159
410000,54559,537838,5.619615450064286e-12,0.5555555820465088,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.638756275177002,0.0,60267.12890625,67767.015625,2,2,0,15,27,31,2,2,0,16,28,34,1922
410000,54496,537838,5.807463451107386e-12,0.5714285969734192,11.118650436401367,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416723251342773,0.0,45979.42578125,45243.3203125,0,0,0,12,21,34,0,0,0,14,22,37,1298
410000,77287,537838,2.494802975316901e-10,0.4761904776096344,19.25794792175293,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7798935174942017,0.0,100702.859375,87383.421875,1,0,0,10,21,35,1,0,0,12,23,37,1095
410000,119248,537838,1.558341372609462e-10,0.09433962404727936,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8606314659118652,0.0,44215.07421875,45576.5078125,1,1,0,5,53,34,1,1,0,5,55,37,950
410000,119474,537838,1.9514580229529344e-10,0.1764705926179886,0.0,5.3993000984191895,5.3993000984191895,5.3993000984191895,5.3993000984191895,0.36600857973098755,0.46099478006362915,0.5469992756843567,-0.0005881829420104623,0.8200072646141052,0.0,0.18000070750713348,0.0,3.442962408065796,0.0,153178.28125,147390.734375,1,1,2,6,34,38,1,1,2,6,35,39,1746
410000,51331,537838,9.427439384701586e-11,0.11764705926179886,818.4228515625,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.799891710281372,0.0,323441.78125,330533.375,3,1,7,2,17,48,3,1,7,2,18,49,3067
410000,21740,537838,2.3152819939031843e-10,0.4545454680919647,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.124202251434326,0.0,72239.4765625,94344.953125,1,1,1,5,11,38,1,1,1,7,11,40,1188
410000,49136,537838,2.348539140939465e-10,0.3333333432674408,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.568664073944092,0.0,24165.904296875,23857.095703125,1,3,0,7,21,35,1,4,1,7,22,36,1226
410000,49086,537838,1.912820457583564e-10,0.5416666865348816,40.05341339111328,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8366862535476685,0.0,185142.703125,193875.890625,0,8,1,13,24,31,0,8,1,15,26,35,1779
410000,91526,537838,8.26147275589939e-11,0.2777777910232544,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172241687774658,0.0,320191.46875,343346.6875,2,3,0,5,18,41,2,3,0,8,22,45,1980
410000,55789,537838,1.622732365147428e-10,0.25925925374031067,13.15195369720459,10.071916580200195,2.517979145050049,2.768144130706787,3.5777010917663574,2.4723386764526367,-0.5579002499580383,0.14176802337169647,0.0,1.1212735176086426,0.0,0.760308027267456,0.0,1.1825973987579346,0.0,120453.3515625,100772.015625,1,2,0,7,27,38,1,2,0,7,27,38,2175
410000,32299,537838,2.492522854780077e-10,0.14814814925193787,26.747421264648438,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7684942483901978,0.0,84445.5390625,85135.25,4,1,0,4,27,32,4,1,0,8,27,35,1502
410000,32386,537838,6.261857699030315e-10,0.7058823704719543,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8370126485824585,0.0,33540.9375,39158.7421875,1,1,0,12,17,31,1,1,1,13,17,33,1667
410000,32417,537838,6.570030075536692e-10,0.35483869910240173,6.796750068664551,36.740928649902344,12.246975898742676,14.068568229675293,20.97780418395996,0.0,0.0,4.749987602233887,0.0,3.3799917697906494,13.511011123657227,0.055999062955379486,0.334998220205307,3.09932804107666,0.0,77877.5390625,71537.2109375,4,4,2,11,31,34,4,4,2,12,33,38,1820
410000,32497,537838,3.864730757641155e-10,0.20000000298023224,50.97568130493164,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3250527381896973,0.0,128508.0,136042.03125,1,1,0,4,20,31,1,1,0,4,20,31,1135
410000,110984,537838,2.0836914138566698e-10,0.3636363744735718,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.727360486984253,0.0,72677.640625,69763.3203125,1,3,2,4,11,35,1,3,2,4,11,35,1456
410000,1800,537838,2.0709521597606084e-10,0.5882353186607361,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6114354133605957,0.0,77553.4921875,74148.7109375,0,0,0,10,17,31,0,0,0,12,19,34,1616
410000,1802,537838,1.8170594195954237e-10,0.07407407462596893,8.706110954284668,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0712677240371704,0.0,46166.7890625,37658.6796875,1,0,0,2,27,35,1,0,0,2,28,36,1167
410000,1952,537838,1.713902492150865e-10,0.1666666716337204,40.090614318847656,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363097429275513,0.0,166935.703125,170519.265625,2,1,1,5,30,50,2,1,1,9,31,51,1435
410000,2929,537838,1.4930458258621826e-10,0.14814814925193787,0.0,8.564547538757324,8.564547538757324,8.564547538757324,8.564547538757324,0.0,0.0,2.6493167877197266,0.0,2.121373176574707,0.0,0.05423877760767937,0.0,1.4150450229644775,0.0,136060.3125,124630.96875,4,5,0,4,27,31,4,5,0,5,29,34,2125
410000,123440,537838,1.4507482715142572e-10,0.06060606241226196,6.260871410369873,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.272130012512207,0.0,113260.6640625,94248.5546875,1,1,4,2,33,31,1,1,4,2,37,36,1235
410000,103371,537838,1.504265045859654e-10,0.260869562625885,50.08436584472656,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344620943069458,0.0,119782.8125,126081.8046875,0,0,0,6,23,42,0,0,0,8,24,42,2351
410000,95444,537838,2.4897492401088073e-10,0.21212121844291687,28.8669490814209,78.43346405029297,11.204779624938965,13.532891273498535,23.408843994140625,0.0,0.7693787217140198,13.679931640625,5.820469856262207,20.110157012939453,1.5595715045928955,1.3978439569473267,-0.5212160348892212,2.231926441192627,0.0,57234.75,66385.96875,2,2,0,7,33,37,2,2,0,7,37,39,1245
410000,95544,537838,1.655137416012309e-10,0.36666667461395264,0.0,91.4563980102539,8.314217567443848,8.98447322845459,16.218006134033203,0.0,1.0780184268951416,11.71298599243164,7.330974102020264,17.364233016967773,4.198007583618164,2.7510251998901367,-0.08100075274705887,3.145632028579712,0.0,232283.75,185858.078125,4,4,0,11,30,31,4,4,0,14,32,34,1546
410000,113646,537838,1.5389144125688148e-10,0.13953489065170288,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4386167526245117,0.0,47160.8515625,57596.13671875,2,3,2,6,43,36,2,3,2,9,45,38,1624
410000,28546,537838,1.5181379764417358e-10,0.1111111119389534,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.982555627822876,0.0,92959.4765625,95066.859375,3,4,2,5,45,44,3,4,2,6,46,46,1906
410000,90187,537838,2.4318760893926594e-10,0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2130768299102783,0.0,36603.8359375,58414.71875,3,2,0,7,28,35,3,4,0,7,29,36,3001
410000,90253,537838,2.351243366671696e-10,0.22857142984867096,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.137737274169922,0.0,24438.66796875,21041.025390625,6,1,3,8,35,32,6,1,3,10,35,32,1138
410000,49999,537838,1.2644259250738088e-10,0.2857142984867096,54.77275848388672,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7287099361419678,0.0,108383.1328125,106525.9609375,1,2,0,4,14,41,1,2,0,5,14,42,1791
410000,115270,537838,2.4294374845190703e-10,0.22727273404598236,41.12995910644531,14.463397979736328,4.821133136749268,5.672313690185547,9.005040168762207,2.2089920043945312,4.350976467132568,0.07600299268960953,0.03024679608643055,0.14300628006458282,0.0,0.08500174432992935,0.0,2.817899703979492,0.0,100941.46875,137823.21875,3,0,0,5,22,34,3,0,0,5,22,34,2457
410000,115357,537838,2.410759925020045e-10,0.6875,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,24372.59765625,21665.896484375,4,5,3,11,16,37,4,5,3,12,17,38,924
410000,78826,537838,0.0,0.8125,28.27524185180664,24.937328338623047,6.234332084655762,6.654845714569092,10.127315521240234,0.0,-0.7013221979141235,1.8833070993423462,5.739077568054199,4.454071521759033,-0.08136642724275589,0.858915388584137,0.0,1.1047983169555664,0.0,122778.125,137762.90625,2,1,0,13,16,52,2,1,0,16,16,57,1460
410000,4936,537838,2.1883041212422683e-10,0.21875,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035911798477173,0.0,58521.40234375,41201.44140625,2,1,0,7,32,35,2,1,0,7,35,37,955
410000,84172,537838,4.637508779770094e-11,0.46666666865348816,9.896644592285156,11.20479679107666,11.20479679107666,11.20479679107666,11.20479679107666,0.0,4.279867172241211,0.0,-0.3442283272743225,0.18776682019233704,0.0,0.715447187423706,0.0,1.7288777828216553,0.0,36620.54296875,39193.45703125,1,0,0,7,15,32,1,0,0,7,15,32,1138
410000,81021,537838,1.766581603224182e-10,0.3214285671710968,5.5414628982543945,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4659011363983154,0.0,96418.4140625,90898.328125,2,0,2,9,28,35,2,0,2,9,28,35,1978
410000,57018,537838,3.9406061747015997e-10,0.7692307829856873,0.0,29.091150283813477,4.15587854385376,4.772519588470459,8.008337020874023,4.612842559814453,0.0,2.0684471130371094,0.08050862699747086,1.6090760231018066,0.0,-0.0034046946093440056,8.008337020874023,2.785179376602173,0.0,351610.96875,326936.8125,5,2,1,10,13,35,5,2,1,10,14,37,1901
