runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,9425,537839,1.8450349e-11,0.0,0.0,0.4368041,0.50348085,8499.0,0.09836435,-2.0061438,6.6868844,4.3727126,4.0,315128.78,361373.0,16,21,20,11,1,2,19,23,21,11,1,2,6189,0.8138701343712816,0.8896119571528731
410000,47979,537839,1.4846477e-10,0.0,0.0,0.30012134,0.3688124,3350.0,0.11809284,-8.7,8.7,-8.7,4.0,190677.27,185702.16,3,22,19,5,1,0,3,23,20,13,2,1,2397,0.6517651614115934,0.894426573844388
410000,130300,537839,3.8618743e-14,0.0,0.0,0.34905636,0.40027115,6489.0,0.020447493,0.0,0.0,-1.0,3.0,315041.6,312759.94,4,28,17,14,4,7,4,29,18,14,5,9,4319,0.5119420165676898,0.9119840872196204
410000,4061,537839,1.6611443e-10,0.0,0.0,0.26215392,0.3527162,2475.0,0.2463696,0.0,0.0,-1.0,5.0,61863.047,63556.01,4,17,16,3,3,4,4,18,17,3,3,4,1855,0.5789728667294438,0.8530123998878775
410000,106295,537839,6.113279e-14,0.0,0.0,0.41193125,0.4681903,6083.0,0.15414667,0.0,0.0,-1.0,7.0,190114.05,190255.52,13,32,27,10,2,9,13,35,30,12,4,10,3873,0.6219516162334062,0.9688021201886504
410000,100477,537839,1.0008045e-10,0.0,0.0,0.2825914,0.31952056,6051.0,0.066914625,-0.06343593,0.49046218,0.75659806,4.0,267910.03,273485.8,6,31,29,11,1,4,8,31,29,11,3,6,4406,0.15605918837643884,0.9327318546897455
410000,132066,537839,6.743076e-11,0.0,0.0,0.31409508,0.34934142,4238.0,0.033358574,0.0,0.0,-1.0,5.0,287796.03,263547.38,3,19,22,3,1,3,3,19,22,3,1,4,3096,0.6079945449301503,0.9495176498959554
410000,105022,537839,6.072491e-14,0.0,0.0,0.25208,0.3401714,5301.0,0.2907598,0.0,0.0,-1.0,4.0,172028.86,159753.81,4,17,34,11,6,5,5,18,35,11,6,5,4046,0.6749052772934008,0.904656734691297
410000,79627,537839,3.9304363e-10,0.0,0.0,0.27037176,0.3217985,2886.0,0.56152534,-3.055943,6.009129,2.1181116,7.0,95071.14,102745.12,4,14,25,17,1,1,4,15,28,19,2,2,1999,0.5505000006375164,0.8952674384972783
410000,129332,537839,6.2496164e-14,0.0,0.0,0.33015642,0.37299445,3139.0,0.21358737,-3.041995,3.041995,-3.041995,6.0,181641.38,192373.17,9,17,23,11,3,6,19,18,26,11,3,6,2183,0.7653223726340229,0.9260908593071713
