runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,82069,537839,1.3891868e-10,0.7368421,50.936314,32.254787,3.5838652,5.327438,12.888073,1.0209938,0.0,4.098003,4.5022526,6.0814924,0.08580528,1.3609686,0.0,3.259914,0.0,156441.44,165641.17,14,19,22,6,3,0,15,22,26,6,3,0,2951,0.1435406738213808,0.8667451626453951
410000,17344,537839,1.603084e-10,0.3043478,105.51376,31.579294,5.263216,6.4181333,10.79955,0.65270966,0.0,3.4396152,4.1791472,9.688682,3.6019473,-0.059038766,-0.059561957,2.8539963,0.0,170167.17,176377.02,7,23,25,7,1,2,13,27,28,7,1,2,1835,0.16439489916531502,0.6756932809290277
410000,943,537839,1.0250437e-10,0.6923077,67.14049,70.246,23.415335,27.92859,37.39691,-0.066,0.0,0.07400401,0.056355927,0.87500584,46.256905,0.050999757,1.8704463,2.0040116,0.0,300286.97,278996.8,9,13,31,7,7,8,9,15,31,7,7,8,4081,1.067765314433089e-05,0.8206355265599972
410000,1072,537839,1.4883102e-10,1.7777778,0.0,34.55563,6.911125,8.982486,13.711794,2.248474,0.0,5.318232,1.8735695,9.953679,2.266109,-0.10392807,0.45583987,3.5355363,0.0,132931.98,143629.61,16,9,21,1,1,2,18,9,23,1,1,2,2719,0.018081377622559125,0.8560729228722284
410000,9425,537839,1.8450349e-11,0.7619048,89.35501,0.78219825,0.39109913,0.5016124,0.7051954,-0.042999998,0.0,0.17900537,0.0,0.28600904,0.0,-0.0030001507,0.0,2.696344,0.0,315128.78,361373.0,16,21,20,11,1,2,19,23,21,11,1,2,6189,0.8138701343712816,0.8896119571528731
410000,47979,537839,1.4846477e-10,0.13636364,0.0,1.009249,1.009249,1.009249,1.009249,0.0,0.0,0.063443474,0.0,0.42625335,0.0,-0.014676472,0.0,3.1743226,0.0,190677.27,185702.16,3,22,19,5,1,0,3,23,20,13,2,1,2397,0.6517651614115934,0.894426573844388
410000,130300,537839,3.8618743e-14,0.14285715,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8331658,0.0,315041.6,312759.94,4,28,17,14,4,7,4,29,18,14,5,9,4319,0.5119420165676898,0.9119840872196204
410000,106295,537839,6.113279e-14,0.40625,40.759586,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.519931,0.0,190114.05,190255.52,13,32,27,10,2,9,13,35,30,12,4,10,3873,0.6219516162334062,0.9688021201886504
410000,4061,537839,1.6611443e-10,0.23529412,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.969076,0.0,61863.047,63556.01,4,17,16,3,3,4,4,18,17,3,3,4,1855,0.5789728667294438,0.8530123998878775
410000,100477,537839,1.0008045e-10,0.19354838,0.0,24.705978,4.941196,9.095097,20.131746,2.393046,0.0,4.856357,0.0,7.666736,0.0,0.074182294,0.0,2.572714,0.0,267910.03,273485.8,6,31,29,11,1,4,8,31,29,11,3,6,4406,0.15605918837643884,0.9327318546897455
