runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
410000,123297,537838,1.5425491439735595e-10,0.0,0.0,0.3854310214519501,0.4481814503669739,2221.0,0.6038429737091064,0.0,0.0,-1.0,8.0,41457.40234375,45483.78125,2,0,1,3,12,43,2,0,1,4,12,43,1168
410000,123845,537838,1.504728286416679e-10,0.0,0.0,0.27055203914642334,0.3542943000793457,2257.0,0.19892388582229614,0.0,0.0,-1.0,5.0,129211.078125,113824.9609375,1,0,0,7,14,32,1,0,0,9,14,34,1018
410000,43599,537838,2.6054572388467534e-10,0.8829239010810852,0.8977724313735962,0.4809539318084717,0.5372034311294556,3804.0,0.07872606813907623,0.40857231616973877,0.7096043825149536,0.9887507557868958,12.0,130145.890625,121530.5078125,1,0,0,6,25,46,1,0,0,6,26,49,2095
410000,29193,537838,5.999734997014228e-12,0.5524638891220093,0.6489861011505127,0.5518895983695984,0.6000990867614746,2091.0,0.5358850955963135,0.0,0.0,-1.0,10.0,63177.86328125,64912.1953125,2,3,2,21,26,44,2,4,3,25,28,49,1155
410000,41014,537838,7.70367859673042e-14,0.7065842151641846,0.7092946767807007,0.4681461751461029,0.4995420575141907,2679.0,0.16998398303985596,0.0,0.0,-1.0,8.0,46912.3203125,46715.26953125,2,1,3,16,14,44,3,1,3,17,16,46,1346
410000,41196,537838,0.0,0.9949632883071899,0.9949632883071899,0.4039197564125061,0.45425617694854736,2271.0,0.46181464195251465,-1.4098554849624634,3.009908437728882,1.4209831953048706,8.0,68410.2265625,67196.21875,2,1,1,3,5,34,2,1,1,4,5,34,970
410000,84565,537838,4.282379173492501e-10,0.8701971769332886,0.8701971769332886,0.5184957981109619,0.5992245078086853,2188.0,0.9204857349395752,0.0,0.0,-1.0,12.0,37417.69140625,29725.876953125,2,5,0,10,20,52,2,5,0,10,20,56,1018
410000,6632,537838,6.566708843358526e-10,0.8616888523101807,0.8616949915885925,0.47869423031806946,0.5588509440422058,2590.0,1.1795313358306885,0.0,0.0,-1.0,8.0,45295.6875,41885.41796875,4,1,1,8,5,43,4,1,1,8,5,43,1334
410000,6630,537838,6.585493261823672e-10,0.0,0.0,0.5001311302185059,0.5373713374137878,2055.0,0.5199238061904907,0.0,0.0,-1.0,9.0,101276.0625,102057.1484375,0,2,2,13,12,33,0,2,2,18,13,35,938
410000,6743,537838,6.87991164038948e-10,0.7691935300827026,0.7998899221420288,0.4256008565425873,0.5095286965370178,3342.0,0.8715878129005432,0.0,0.0,-1.0,12.0,131035.4296875,146257.015625,4,3,0,8,15,44,6,3,1,11,17,48,1769
