runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,region,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,msvtx_nTGC_s,scoreNN1e,scoreNN2e,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw
410000,90288,537837,1.08768446e-10,0.21428572,133.61967,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0456707,0.0,267697.1,279242.22,3,14,19,10,1,4,3,16,21,11,1,4,1287.0,0.7508578691455738,0.4446575056852815,0.0,0.0,0.1090985,0.15291053,1712.0,0.00097322464,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,57631,537837,5.446992e-11,0.1,0.0,18.824339,1.568695,1.924196,4.5435886,0.848462,0.0,1.7637818,0.04136516,5.8184547,0.90723586,0.18844996,-0.026829414,0.9263863,0.0,381599.22,403616.2,2,20,39,6,1,3,2,20,39,6,1,3,2663.0,0.3911158345193265,0.838253134871265,0.0,0.0,0.22982311,0.27301037,3946.0,0.067523,-2.021415,4.6915193,3.8240466,3.0,barrel,,,,,,,,,,
410000,131295,537837,5.4647103e-14,0.9,17.74499,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1540921,0.0,66339.02,67529.125,9,10,18,5,2,4,13,11,21,5,2,4,1858.0,0.5266038571423165,0.6373089276844328,0.0,0.0,0.21379519,0.26147106,2554.0,0.2607957,0.0,0.0,-1.0,3.0,barrel,,,,,,,,,,
410000,126668,537837,4.599761e-10,0.04347826,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0773418,0.0,59120.453,42168.742,1,23,26,12,1,2,1,24,27,12,1,3,2291.0,0.5291371874926343,0.9643090199410091,0.0,0.0,0.17180431,0.222294,3081.0,0.703392,0.0,0.0,-1.0,10.0,barrel,,,,,,,,,,
410000,147757,537837,2.4138824e-10,0.06666667,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.953658,0.0,328461.6,327208.88,1,15,25,10,2,9,1,16,26,19,2,11,2781.0,0.5207530982996669,0.885778315946709,0.0,0.0,0.527769,0.6532722,4606.0,0.50213027,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,123839,537837,1.0932626e-10,0.27272728,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3015767,0.0,62789.7,37259.844,6,22,22,14,2,3,9,24,24,15,3,4,1853.0,0.4803558624686581,0.6325313513350208,0.0,0.0,0.25280982,0.31416586,2640.0,2.1402125,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,123958,537837,1.2513778e-10,0.22222222,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4599845,0.0,94700.77,100156.12,2,9,29,6,0,11,4,10,30,7,0,11,2826.0,0.6096023681866123,0.9416779406329698,0.0,0.0,0.26821837,0.3423603,3943.0,0.0904547,0.0,0.0,-1.0,5.0,barrel,,,,,,,,,,
410000,137570,537837,1.213741e-10,0.08108108,0.0,0.7714737,0.7714737,0.7714737,0.7714737,0.73789614,0.0,0.015119106,0.0,0.0,0.0,0.0,0.0,2.8519685,0.0,55683.453,53195.64,3,37,22,10,1,2,3,40,25,10,1,2,2839.0,0.6852697380190367,0.9058497636863272,0.0,0.0,0.19464034,0.26087207,3843.0,0.32172394,0.0,0.0,0.0,4.0,barrel,,,,,,,,,,
410000,110500,537837,1.2746358e-10,0.5294118,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7600043,0.0,231480.62,229953.73,9,17,20,6,1,0,10,23,25,6,1,0,1515.0,0.5697802066792492,0.8958081826077988,0.0,0.0,0.15805447,0.1812074,2206.0,0.4616803,0.0,0.0,-1.0,7.0,barrel,,,,,,,,,,
410000,126344,537837,4.512615e-10,0.08695652,0.0,1.8733182,1.8733182,1.8733182,1.8733182,0.114,0.0,0.30099934,0.0,0.6320126,0.0,-0.049000826,0.0,3.8487358,0.0,50688.016,62707.99,2,23,22,11,2,5,2,25,24,11,2,5,2413.0,0.604369345947003,0.9249876554776904,0.0,0.0,0.23356539,0.27829143,3266.0,0.7737391,24.175964,24.175964,24.175964,4.0,barrel,,,,,,,,,,
