runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
480407,2678487892,0,1.0,0.0,0.0,0.14367697,0.19771405,2145.0,0.91414213,0.0,0.0,-1.0,6.0,25461.676,25670.7,22,23,24,11,14,14,25,24,25,11,14,14,900,0.6234556662943236,0.8589451644176747
480407,3884758677,0,1.0,0.0,0.0,0.13017915,0.19808392,1893.0,0.0493989,0.0,0.0,-1.0,4.0,0.0,20066.896,11,23,18,4,10,5,12,23,19,4,10,5,1102,0.0,0.5329576199341555
476276,2407529424,0,1.0,0.0,0.0,0.24039501,0.30805802,1466.0,0.28035694,-2.1446428,4.8518143,3.673294,3.0,31616.967,63869.902,3,17,17,8,7,13,5,18,17,9,8,14,820,0.051598773329668,0.1100012213016669
479449,1422483734,0,1.0,0.0,0.0,0.21772672,0.30093428,1944.0,0.43618023,0.890556,0.890556,0.890556,3.0,33086.8,23430.166,13,11,16,19,13,13,14,12,16,21,14,15,955,0.4796167139974665,0.30398502993083376
479449,448248114,0,1.0,0.0,0.0,0.22633272,0.28228486,1964.0,0.5557406,-2.481909,5.906308,6.6865563,3.0,14422.952,21749.059,13,19,17,12,21,27,14,20,26,15,22,28,864,0.31153641687254796,0.20417577287466426
479239,452996123,0,1.0,0.0,0.0,0.17718637,0.24914807,2011.0,0.35745698,-2.4987388,5.693943,2.7131178,4.0,33840.3,45455.1,10,19,26,19,26,20,11,22,29,21,27,20,1112,0.08708932602513597,0.4579422992883566
482400,721680002,0,1.0,0.0,0.0,0.11467215,0.18574613,1918.0,0.05166006,-1.7991836,4.7166133,5.46886,4.0,27749.424,33615.883,9,29,23,15,16,16,11,30,24,15,16,17,1057,0.010610321781059362,0.3541650405406628
479955,1002460215,0,1.0,0.0,0.0,0.17432876,0.30646825,3263.0,2.6761298,0.6571008,3.813104,11.317267,4.0,39921.793,25345.885,8,42,30,15,20,23,14,44,33,18,20,24,2098,0.16264753779037677,0.39111796409744726
479955,1498323739,0,1.0,0.0,0.0,0.18552561,0.26131758,2929.0,0.43460816,2.3529217,4.8642683,11.686347,3.0,6150.7583,57029.47,9,24,16,7,27,19,9,31,19,8,28,20,1553,0.15774806418528897,0.5371658615998081
479955,1406741831,0,1.0,0.0,0.0,0.32820287,0.43191698,2261.0,0.31425643,0.5564062,3.649305,5.816458,3.0,12429.205,27664.564,6,12,21,18,12,16,9,15,22,19,12,16,1229,0.006747559818685467,0.3497068148447475
480219,724873507,0,1.0,0.0,0.0,0.2801064,0.3255895,1815.0,0.737607,3.9180617,4.491703,6.272639,4.0,37344.22,45676.582,14,19,21,15,11,14,17,20,24,17,14,16,1100,0.023577951222837013,0.32204986783540457
482084,355589492,0,1.0,0.0,0.0,0.32033336,0.35809225,1541.0,0.30112314,-1.536125,1.536125,-1.536125,3.0,35930.574,22794.838,6,9,16,13,17,21,6,9,16,16,17,21,1041,0.6115034084160202,0.2091176312673454
477002,926103332,0,1.0,0.0,0.0,0.20145029,0.3118867,1884.0,1.6666272,-0.31572056,6.310921,8.475142,3.0,36459.95,45098.73,7,16,24,12,9,11,10,16,25,14,10,12,887,0.06213691488221218,0.11852898569595871
477002,799009399,0,1.0,0.0,0.0,0.25255135,0.30408493,1556.0,0.5368836,0.0,0.0,-1.0,3.0,28002.693,36334.293,8,13,18,21,14,15,8,15,20,25,15,15,833,0.5714003490126034,0.20957466363083077
481968,574376662,0,1.0,0.0,0.0,0.22748505,0.28133097,1522.0,2.4019005,0.0,0.0,-1.0,5.0,31653.227,34520.625,6,13,16,20,14,17,7,13,17,21,15,17,841,0.5680106096888671,0.4771202989271518
474533,1487570962,0,1.0,0.6749873,0.6749873,0.21213014,0.27072695,1765.0,0.1980389,0.4337326,1.9567529,2.871,4.0,36660.742,36908.367,5,25,19,17,11,14,7,27,21,19,12,15,891,0.021525711935409975,0.44719559767803185
480197,3464083671,0,1.0,0.0,0.0,0.4291768,0.45017862,4027.0,0.13432002,0.0,0.0,-1.0,3.0,35957.203,31023.088,5,19,20,15,16,7,5,21,21,15,16,7,2392,0.0,0.903743977708705
480197,1767773216,0,1.0,0.0,0.0,0.1487939,0.1822066,1790.0,0.0443137,-2.416214,2.888529,0.0,3.0,23839.988,20799.357,7,21,17,5,19,8,8,22,17,6,21,10,1094,0.0,0.23358525258783724
480197,2134651665,0,1.0,0.0,0.0,0.29907468,0.38097337,1799.0,0.041401505,0.18936425,2.7820275,5.3377647,3.0,35728.74,31215.715,8,4,19,18,13,14,9,4,20,25,14,14,1154,0.03587565716870322,0.18641391160268217
480197,1891012988,0,1.0,0.0,0.0,0.26691446,0.3399422,2311.0,0.43952894,0.0,0.0,-1.0,3.0,38107.645,27925.006,8,20,16,7,11,7,9,25,19,7,11,7,1195,0.6007817303433751,0.5561548794138056
480197,2110175754,0,1.0,0.0,0.0,0.26422074,0.30661827,2302.0,0.09723401,0.0,0.0,-1.0,4.0,39659.625,29172.547,7,10,16,11,15,27,9,11,20,12,15,29,1382,0.016892061115142853,0.7225502298050982
480197,2620458447,0,1.0,0.0,0.0,0.32199386,0.3757995,2450.0,0.7807921,0.47205663,4.7295647,8.186348,4.0,18502.64,32220.252,16,15,29,10,16,17,21,20,31,13,17,18,1150,0.062358107689899245,0.6258979361760808
480197,2680285238,0,1.0,0.0,0.0,0.20633861,0.23253143,1734.0,2.4227142,-1.4281486,6.1476555,6.0864744,4.0,29014.115,33948.15,15,27,18,18,26,15,17,29,20,20,27,16,1052,0.0030323969959858976,0.24514009059750097
482028,718842702,0,1.0,0.0,0.0,0.29558635,0.31466335,3405.0,1.161189,0.8298246,1.9411588,2.5846717,4.0,23547.963,24092.678,6,21,16,7,22,17,6,22,17,10,23,18,1893,0.4579853182529583,0.7301688509882222
