runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
473400,366405070,0,1.0,0.54545456,8.222583,24.284435,3.4692051,4.5611353,9.260167,1.4720292,0.0,2.860568,0.4551644,4.968009,3.805806,0.18650517,-0.52344656,2.744612,0.0,35612.785,27679.336,6,11,18,7,12,14,6,11,18,7,12,14,1206,0.11395022183605374,0.6057666471592769
473400,545112168,0,1.0,0.5714286,5.1099925,21.322945,2.369216,2.854769,5.171849,1.296741,0.0,1.5592011,1.1323274,5.2607126,1.0533457,0.9837781,1.0914419,0.8339793,0.0,19124.604,28359.734,8,14,16,11,15,13,10,14,17,11,16,14,934,0.2453471676016057,0.13835839706997866
480188,2633824803,0,1.0,0.61904764,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4179823,3.2997012,23606.469,26667.025,13,21,18,12,19,26,21,24,23,16,19,27,1747,0.048154981973870914,0.7536674585024795
480188,3339774743,0,1.0,0.61538464,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.967339,0.0,30080.463,36850.586,8,13,16,9,12,13,9,13,17,11,13,13,881,0.6391636900242152,0.09422675731465169
474926,2742543792,0,1.0,0.25,0.0,39.73327,3.6121156,6.607722,20.361467,1.4594018,0.0,12.070191,1.4101213,17.454752,0.0026563797,0.21808305,0.0,3.5541437,0.52586347,8129.742,27226.998,4,16,19,6,8,13,5,17,19,6,8,13,1329,0.0425828385865642,0.3378209657971939
475052,1502740229,0,1.0,0.72727275,6.8854046,0.55520004,0.55520004,0.55520004,0.55520004,-0.055150792,0.0,0.250274,0.0,0.032541946,0.0,0.0,0.0,1.6256312,0.0,27615.002,23909.865,8,11,24,12,13,19,8,12,25,12,14,19,1520,0.618662893852419,0.43028645546296107
483888,1489446910,0,1.0,1.5625,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.582864,1.6997843,20589.303,20803.36,25,16,19,14,15,17,26,16,20,16,16,19,947,0.23805009351472062,0.30185673371964095
484074,381184591,0,1.0,1.0909091,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7692928,0.0,31776.572,39161.273,12,11,20,7,9,20,13,14,23,7,11,23,853,0.58926769415931,0.665327893335582
484074,2608509991,0,1.0,0.3478261,5.5776496,23.951328,3.4216182,4.3999844,7.0483646,0.30359042,0.0,0.51002544,4.4443865,4.6953425,1.3414882,1.0835232,-0.022847481,3.2614787,2.8570845,24547.908,45560.89,8,23,30,8,20,18,8,25,36,11,21,20,1098,0.0016453313731312758,0.365295369515384
473959,2199173429,0,1.0,0.15,0.0,15.41818,2.5696967,2.853568,4.2735476,0.9195699,0.0,2.1300397,0.0,6.070846,0.0,0.041364457,0.0,3.2327163,0.0,34972.668,39902.953,3,20,28,24,14,10,3,21,29,27,15,11,842,0.25157050261150904,0.09722156124294579
