runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,119700,537836,1.2590362e-10,0.0,0.0,0.33730888,0.39267352,2664.0,0.024990678,0.0,0.0,-1.0,4.0,50566.43,54054.344,1,2,1,3,9,40,1,2,1,3,9,40,1294,0.7625681555700808,0.21064678976565332
410000,43059,537836,1.3765335e-10,0.5292312,0.5292312,0.4727269,0.5186563,4998.0,0.6614323,0.0,0.0,-1.0,5.0,79955.086,64267.332,3,2,0,7,10,38,3,2,0,8,11,42,2531,0.5022687187639696,0.9718849895419512
410000,43053,537836,1.4320443e-10,0.9274988,0.9274988,0.29583895,0.36566764,2445.0,0.06814194,0.0,0.0,-1.0,9.0,80588.734,93269.84,1,1,3,3,18,36,1,2,4,3,18,36,1301,0.9022247668801213,0.7940611432399761
410000,123951,537836,9.3066096e-11,0.0,0.0,0.54360205,0.6721282,2236.0,0.40911406,0.0,0.0,-1.0,5.0,247719.3,228187.72,6,3,1,2,7,37,6,3,1,2,9,46,1253,0.9018947185712655,0.20731915326834116
410000,89138,537836,1.8240647e-11,0.0,0.0,0.41424686,0.48032635,3433.0,0.040100932,0.0,0.0,-1.0,3.0,72792.3,113917.41,5,8,2,9,33,44,5,8,2,14,33,46,1945,0.9066607728518501,0.47618633959760204
410000,5557,537836,1.6172001e-10,0.0,0.0,0.43934527,0.4977262,1941.0,0.07724315,0.0,0.0,-1.0,7.0,114255.99,125887.86,0,1,1,9,14,32,0,1,1,9,15,33,1024,0.6868555009291822,0.31757200756409876
410000,45204,537836,1.4483723e-10,0.0,0.0,0.37200144,0.4170381,1930.0,3.0480957,-2.4258177,3.9952416,1.3135346,11.0,40527.668,25324.492,0,0,0,8,11,31,0,0,0,8,11,31,1129,0.5694326759913432,0.8310461220491314
410000,38758,537836,1.3285033e-10,0.0,0.0,0.35365495,0.40440604,2733.0,1.0839721,0.0,0.0,-1.0,3.0,46893.55,26154.553,2,2,1,5,14,31,2,2,1,5,17,33,1344,0.8354722698143929,0.20297018314290516
410000,28084,537836,1.3587045e-10,0.8751872,0.8751872,0.505716,0.5349722,2237.0,0.45810515,0.0,0.0,-1.0,8.0,45763.723,44594.195,3,0,1,6,43,44,3,0,1,7,45,45,1028,0.9464307555001878,0.7422420256947042
410000,46453,537836,0.0,0.0,0.0,0.53796583,0.5761202,4700.0,0.2599933,0.0,0.0,-1.0,7.0,158468.42,159959.38,7,1,1,9,11,41,8,2,1,11,12,41,2671,0.4003780626150839,0.9839379424136354
410000,197,537836,3.689648e-12,0.0,0.0,0.4397974,0.47753584,3289.0,0.503906,0.0,0.0,-1.0,6.0,113908.74,130674.81,3,2,2,10,12,37,3,2,2,10,12,37,1810,0.4755939099318701,0.8100253523514929
410000,12014,537836,5.8325056e-14,0.0,0.0,0.4566928,0.5212619,3041.0,3.1036725,0.0,0.0,-1.0,7.0,52924.742,38790.254,2,3,4,18,28,33,2,3,4,18,35,41,1502,0.5830800816526306,0.6428209307136972
410000,98206,537836,4.9286e-10,0.49453267,0.51432014,0.31467852,0.40589967,2123.0,0.60826695,0.0,0.0,-1.0,5.0,92417.91,96309.445,1,1,1,9,34,38,1,2,1,12,38,45,905,0.8803218880556897,0.25963194837648396
410000,98208,537836,4.2609724e-10,0.0,0.0,0.5405393,0.6127489,3990.0,0.2649135,0.0,0.0,-1.0,3.0,191352.52,201098.19,0,1,8,6,15,38,0,1,9,6,16,40,2000,0.7721882786198834,0.7742446272432532
410000,19772,537836,1.2426532e-10,0.73539096,0.7609472,0.52327204,0.5685675,3586.0,0.6605283,2.2731543,2.2731543,2.2731543,3.0,60644.523,58046.477,2,2,2,8,17,36,2,2,2,8,19,37,1979,0.6354927657213217,0.5145420947573168
410000,86573,537836,3.3437106e-10,0.0,0.0,0.49622923,0.5715859,2585.0,0.23945725,0.0,0.0,-1.0,7.0,61653.71,63875.062,1,0,1,12,36,34,1,0,1,12,42,38,1125,0.841484798234482,0.5962871055695576
410000,139913,537836,1.4756162e-10,0.0,0.0,0.44417664,0.50556606,3709.0,2.038649,0.0,0.0,-1.0,3.0,41436.43,28476.38,0,3,1,9,14,38,0,3,1,9,14,38,1892,0.6495497065769316,0.47036718650823517
410000,47859,537836,0.0,0.0,0.0,0.32251337,0.39007297,2802.0,0.8373776,0.0,0.0,-1.0,5.0,61862.83,67802.28,1,1,2,13,38,42,1,1,2,14,41,45,1222,0.8541614959022441,0.4993610016859731
410000,108137,537836,1.5980095e-10,0.8089742,0.8089742,0.5153166,0.56846106,3345.0,0.6860144,2.1276133,2.611563,3.4040916,9.0,95218.29,52189.156,2,1,2,9,16,32,2,1,2,9,19,36,1634,0.003915294562657823,0.9416289639091948
410000,109720,537836,1.329118e-10,0.0,0.0,0.4510583,0.5010197,2414.0,0.5922606,0.0,0.0,-1.0,4.0,68225.58,63631.668,0,0,0,8,32,43,0,0,0,10,33,46,1307,0.8939234967444669,0.17980707655007389
410000,60037,537836,1.10028146e-10,0.0,0.0,0.39958665,0.47033933,3393.0,0.010342807,0.0,0.0,-1.0,3.0,323278.38,326113.34,0,0,0,11,12,31,0,0,0,11,13,31,1462,0.5884891241058332,0.45152750356177984
410000,120831,537836,1.9124022e-10,0.0,0.0,0.37039796,0.46326077,2064.0,2.076291,0.0,0.0,-1.0,10.0,50958.355,35144.105,0,1,0,7,22,36,0,1,0,9,23,37,1088,0.8315662052332505,0.755542964820795
410000,134953,537836,1.3557548e-10,0.9604991,0.9605646,0.53138053,0.5964145,2257.0,0.5568714,0.0,0.0,-1.0,9.0,68525.48,74049.42,0,0,2,5,42,31,0,0,2,5,46,36,1099,0.20444009522565676,0.8181810792105411
410000,147149,537836,1.4521764e-10,0.94860685,0.9486101,0.46840176,0.528405,3142.0,0.36195993,0.0,0.0,-1.0,16.0,67759.766,74774.32,6,5,2,13,19,31,6,5,2,16,20,34,1665,0.6316516411869183,0.9969739712233244
410000,12163,537836,0.0,0.6053522,0.6504687,0.2166383,0.3091879,2020.0,1.2054751,0.0,0.0,-1.0,5.0,115217.7,116056.44,3,2,2,14,18,38,4,2,2,17,21,42,1062,0.5443617449590221,0.23236523376503182
410000,62022,537836,4.9597204e-10,0.0,0.0,0.36018628,0.40935346,1895.0,0.06967777,-0.86490965,0.86490965,-0.86490965,5.0,77057.234,79908.9,0,1,0,8,9,40,0,1,0,11,13,44,995,0.3068645451962406,0.13789303757343996
410000,38230,537836,1.1888987e-10,0.5481421,0.5517194,0.43409717,0.49753687,2291.0,0.8949549,0.0,0.0,-1.0,4.0,113096.95,101890.945,1,6,3,16,50,36,1,6,3,19,52,40,1040,0.8490883359592151,0.21384522863045108
410000,85487,537836,1.1685196e-10,0.95432925,0.95432925,0.44504943,0.5079499,2108.0,1.2244838,0.0,0.0,-1.0,4.0,103733.734,89905.5,1,0,1,7,12,37,1,0,1,8,14,39,1118,0.6600756574922699,0.19209394059726315
410000,85555,537836,8.442423e-11,0.0,0.0,0.52228856,0.5506479,3944.0,0.15684652,-0.3629228,1.8063848,1.641923,7.0,180985.14,189651.67,1,0,2,4,20,32,1,0,2,4,20,32,2265,0.9952324914525409,0.9510864866440641
410000,99538,537836,1.218912e-10,0.47756374,0.47756374,0.5095919,0.5484258,3623.0,0.34185505,0.0,0.0,-1.0,7.0,135254.94,133720.66,5,2,0,6,33,37,5,2,0,6,34,37,1787,0.9403205959168235,0.9428690344099788
410000,88151,537836,0.0,0.95221686,0.95221686,0.5380301,0.57694876,2695.0,0.12941706,0.0,0.0,-1.0,11.0,100607.54,88095.77,2,2,0,13,20,45,2,2,0,15,20,46,1268,0.5942515480413901,0.9482137035210763
410000,88171,537836,0.0,0.0,0.0,0.41551894,0.4819293,3502.0,0.031401664,0.0,0.0,-1.0,7.0,57181.785,47924.605,3,0,0,4,11,32,3,0,0,4,11,34,1880,0.8538584417936085,0.8868508993037495
410000,17094,537836,5.834586e-11,0.91582453,0.91582453,0.3740035,0.44459656,3659.0,0.0024439394,0.0,0.0,-1.0,6.0,375643.7,373586.5,3,3,1,5,25,49,3,3,1,7,28,51,1748,0.9189472176037424,0.9255356751592702
410000,101384,537836,1.895071e-10,0.0,0.0,0.41497648,0.47648713,3840.0,0.19159275,0.0,0.0,-1.0,4.0,75698.12,75793.61,2,2,2,6,32,36,2,2,2,6,34,37,2157,0.9633291775434748,0.8111041645784728
410000,24586,537836,1.3113714e-10,0.45866162,0.45866162,0.46026888,0.520516,4075.0,0.16232932,0.0,0.0,-1.0,3.0,181634.78,185733.56,3,2,0,7,24,41,4,2,0,7,26,43,1949,0.8390034754030391,0.8390074714786263
410000,82125,537836,1.8043411e-10,0.0,0.0,0.46312436,0.5060293,4281.0,0.44298416,1.590637,2.196229,3.105,5.0,41865.44,44225.004,0,3,0,7,19,33,0,3,0,9,24,36,2126,0.7240862121460607,0.8967132061025512
410000,59818,537836,1.3886339e-10,0.0,0.0,0.3320321,0.38312393,2818.0,0.47838098,0.0,0.0,-1.0,12.0,64311.59,49820.242,0,3,0,3,16,33,0,3,0,4,18,36,1454,0.9317740390383301,0.9324013997806015
410000,30370,537836,1.4268642e-10,0.5861559,0.5861559,0.43729597,0.51458853,3939.0,0.26105142,-0.7148093,3.3377452,4.231,5.0,198962.95,172131.83,0,2,1,11,30,31,0,2,1,14,31,34,2120,0.99706751050683,0.9099182289638934
410000,85140,537836,1.04603146e-10,0.0,0.0,0.50183916,0.54469496,3412.0,0.30408496,0.0,0.0,-1.0,9.0,213626.08,218066.97,2,3,1,4,23,31,2,3,1,4,25,34,1623,0.9781628328656028,0.9398933921459464
410000,43273,537836,1.271182e-10,0.53893137,0.53893137,0.4467188,0.4854904,3469.0,2.2380567,0.0,0.0,-1.0,12.0,74936.33,80151.62,0,1,1,3,30,47,0,1,1,3,32,48,1683,0.9341278003658111,0.9694480937469273
410000,50064,537836,1.3679052e-10,0.9438425,0.95329005,0.40679386,0.45256758,3044.0,0.55652833,0.0,0.0,-1.0,4.0,66687.65,71569.445,2,1,2,12,15,31,2,1,2,12,15,35,1379,0.519293937995676,0.6335667789548097
410000,76269,537836,9.144085e-11,0.6578101,0.65781003,0.43055657,0.52546364,3924.0,0.07442784,0.0,0.0,-1.0,4.0,240806.19,235231.77,5,1,1,15,22,46,5,1,1,15,24,48,2052,0.6636213058075046,0.8679627315683571
410000,147699,537836,1.078243e-10,0.40622088,0.40622088,0.45936757,0.52089435,4769.0,0.00011301041,0.0,0.0,-1.0,7.0,221767.34,229155.95,2,0,1,10,22,35,2,0,1,11,23,35,2727,0.8130412507680891,0.9906157733464511
410000,147458,537836,9.126227e-11,0.6877106,0.7093007,0.47750106,0.5150755,4699.0,0.19893074,0.0,0.0,-1.0,7.0,207847.36,217419.28,0,3,1,9,5,36,0,3,1,9,5,36,2325,0.3804272144120462,0.9902756421462522
410000,110149,537836,1.3772869e-10,0.0,0.0,0.35227898,0.40091276,2636.0,0.2017014,0.0,0.0,-1.0,9.0,250436.06,255202.94,4,7,11,3,26,31,4,7,11,3,27,32,1363,0.9749653024500433,0.7596989651985622
410000,118234,537836,1.2567303e-10,0.0,0.0,0.47478804,0.5177824,4534.0,1.0920253,-1.2014458,6.2749286,11.52447,6.0,87592.4,89164.24,0,3,0,13,23,37,0,4,0,14,24,39,2179,0.9620235517363247,0.8992080651590717
410000,1529,537836,1.4528938e-10,0.0,0.0,0.5051302,0.5658888,2922.0,0.30613738,0.0,0.0,-1.0,9.0,123328.625,118681.56,1,1,0,11,12,32,1,1,0,11,14,33,1450,0.10764889072804007,0.8513390980645718
410000,105821,537836,0.0,0.0,0.0,0.5117382,0.5586601,4304.0,0.30591428,0.0,0.0,-1.0,4.0,215819.95,204772.05,2,1,3,11,23,31,2,1,3,16,28,34,2029,0.9239591396642268,0.9056838816437297
410000,12570,537836,3.582741e-14,0.0,0.0,0.43676054,0.49555025,4184.0,0.22202873,0.0,0.0,-1.0,6.0,276229.94,272122.34,4,4,4,7,34,33,5,4,4,9,34,37,1944,0.8995045180371294,0.9521635429035364
410000,94064,537836,4.0621137e-10,0.9819702,0.9819702,0.4604788,0.48807013,4386.0,0.54907274,0.0,0.0,-1.0,6.0,123116.28,149860.94,0,2,0,18,13,40,0,2,0,19,13,40,2104,0.49276445082332043,0.9760032940839477
410000,138922,537836,1.176188e-10,0.0,0.0,0.5649644,0.6100155,3354.0,0.0113915205,-3.1994298,6.3455286,0.7210316,6.0,240145.6,238410.86,0,1,0,4,20,41,0,1,0,5,21,41,1777,0.9710924419602609,0.8343968590407704
410000,139004,537836,1.3600664e-10,0.65290666,0.65290666,0.46000242,0.50463814,3868.0,1.0223899,0.0,0.0,-1.0,6.0,69749.86,74095.48,0,2,1,7,26,44,0,2,1,7,27,45,1741,0.8981707951708723,0.9219934273398092
410000,76302,537836,1.3526788e-10,0.0,0.0,0.41621742,0.48718736,3369.0,0.9407346,0.0,0.0,-1.0,3.0,45585.605,23334.709,1,0,1,6,32,35,1,0,1,6,32,35,1536,0.935862656532678,0.5112859479426937
410000,76427,537836,1.13043165e-10,0.51472914,0.5239936,0.48845685,0.5604404,5848.0,0.04012251,0.0,0.0,-1.0,13.0,163916.23,172504.89,0,1,3,7,22,58,0,1,3,10,23,59,3119,0.8821275941717464,0.9997537172852767
410000,146438,537836,1.2065986e-10,0.0,0.0,0.39222965,0.45697045,3177.0,0.06269279,0.0,0.0,-1.0,10.0,86263.14,95613.52,0,2,1,8,36,35,0,2,1,10,39,35,1631,0.9241195656744473,0.9206022293441776
410000,95602,537836,1.09693296e-10,0.28866464,0.28866464,0.34796268,0.3894905,3322.0,0.2602363,0.0,0.0,-1.0,4.0,91011.46,101893.33,0,0,1,2,19,40,0,0,1,2,21,42,1741,0.9738520916596929,0.6590679036817251
410000,65213,537836,1.3761052e-10,0.513837,0.5138369,0.4538058,0.52082366,4001.0,0.24643943,0.0,0.0,-1.0,3.0,111207.59,89290.97,0,1,1,3,10,32,0,1,1,3,10,32,1726,0.9307921268193975,0.8249003738503773
410000,9247,537836,4.400882e-12,0.51749086,0.5174908,0.45643476,0.47631097,3424.0,1.8696628,2.25,2.25,2.25,6.0,53595.09,50097.746,3,2,0,11,14,32,5,4,1,11,14,35,1845,0.6132869227056432,0.6766010339790798
410000,9264,537836,4.3427575e-12,1.0680375,1.0680375,0.46956375,0.5033405,2719.0,0.932304,0.0,0.0,-1.0,5.0,42050.55,38196.99,0,3,0,14,12,35,0,3,0,15,12,35,1543,0.43388498513443396,0.6335464706147835
410000,104318,537836,4.8693315e-14,0.8270336,0.8270336,0.432067,0.49316916,3169.0,0.17843843,0.0,0.0,-1.0,6.0,170161.72,173880.38,4,1,1,18,18,39,4,1,1,18,19,39,1516,0.45399811698792036,0.8466298132171213
410000,83327,537836,1.172189e-10,0.0,0.0,0.47963303,0.5404651,3990.0,0.82172567,0.0,0.0,-1.0,5.0,64759.85,60928.605,0,2,0,6,8,33,0,2,0,7,9,33,1928,0.21818519414610138,0.8844842730008472
410000,69056,537836,1.33584e-10,0.80185676,0.801938,0.3389123,0.38102022,3790.0,0.12909865,0.0,0.0,-1.0,3.0,69817.484,69634.695,1,1,0,3,30,50,1,1,0,3,30,50,1927,0.9571359034531124,0.7592817907784681
410000,12866,537836,1.7964649e-10,0.0,0.0,0.26210788,0.360539,1902.0,0.25144613,0.0,0.0,-1.0,8.0,48477.797,50415.098,2,0,3,6,33,33,4,1,4,6,34,35,938,0.868514134057142,0.37926471469423795
410000,135293,537836,1.1791017e-10,0.0,0.0,0.43376866,0.4705857,3493.0,0.7298522,0.0,0.0,-1.0,8.0,59564.027,59633.508,1,0,0,7,28,35,1,0,0,7,29,35,1799,0.9092088895345558,0.9225087061563833
410000,29177,537836,4.4580754e-12,0.0,0.0,0.48107076,0.5158203,2193.0,0.26303875,0.0,0.0,-1.0,4.0,56920.625,50275.434,2,1,4,7,25,31,2,1,4,9,27,33,921,0.8690116736671841,0.11860520230661908
410000,7157,537836,4.3860737e-10,0.0,0.0,0.38803568,0.44472855,3516.0,0.03524661,1.3615751,5.2447696,10.309219,8.0,109802.516,128293.12,0,0,4,8,18,32,0,0,4,9,18,39,1595,0.9679327426987839,0.8937991053925018
410000,124359,537836,3.08232e-11,0.7972372,0.8152485,0.34286207,0.40918487,2437.0,0.43559813,0.0,0.0,-1.0,8.0,191694.62,221588.52,3,1,1,8,17,45,3,1,1,11,17,46,1252,0.7712663781472032,0.7590196296599111
410000,102099,537836,3.6595227e-11,0.0,0.0,0.33793637,0.41857016,1982.0,0.33131975,0.0,0.0,-1.0,4.0,75581.61,69350.8,1,0,1,8,11,38,1,0,1,9,13,39,1087,0.3914052913412961,0.08597612795827014
410000,83090,537836,1.2979112e-10,0.0,0.0,0.5027871,0.56340814,5199.0,0.02849716,0.0,0.0,-1.0,4.0,104212.914,117093.36,0,1,3,4,14,32,0,1,3,5,14,33,2640,0.8636332890399778,0.9765948469594802
410000,114108,537836,3.5694257e-11,0.0,0.0,0.37179556,0.43584275,2091.0,2.0858343,-0.10960476,2.5223277,3.1206841,10.0,53637.664,47804.71,5,2,1,8,14,33,5,2,1,10,14,34,1072,0.9945045379310505,0.716671628012477
410000,26438,537836,1.015037e-10,0.0,0.0,0.42133632,0.4616395,4067.0,0.046794653,0.0,0.0,-1.0,3.0,76985.03,81428.63,3,1,1,2,14,40,3,1,1,2,14,40,2202,0.9418002562449455,0.7925038856426782
410000,95804,537836,1.2312412e-10,0.0,0.0,0.48454294,0.51313543,4075.0,0.04447484,0.0,0.0,-1.0,3.0,65484.418,70262.0,0,0,0,10,5,34,0,0,0,10,6,35,1988,0.324601123336722,0.7981948972130285
410000,95969,537836,1.3162042e-10,0.0,0.0,0.4283481,0.48042387,2901.0,0.29440832,0.0,0.0,-1.0,4.0,144844.6,144366.38,0,0,0,0,24,32,0,0,0,2,24,33,1133,0.9911425387899565,0.3712824555619433
