runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,14314,537836,1.2791496e-10,0.0,0.0,0.18383077,0.22018427,2366.0,0.2522446,-1.8986754,6.4873166,4.6483846,5.0,45000.113,53601.82,11,23,17,5,5,7,13,25,18,6,6,8,1572,0.3384181478232374,0.7094643734616046
410000,46137,537836,0.0,0.0,0.0,0.30151153,0.34069386,5361.0,0.5140439,0.0,0.0,-1.0,3.0,49997.184,86793.68,8,12,18,15,3,6,8,13,19,16,4,7,4060,0.4991287634326774,0.7986358441562135
410000,48640,537836,1.3031991e-10,0.0,0.0,0.29778007,0.39288008,4452.0,0.2662691,0.89414555,3.7207346,5.007,3.0,165002.77,167925.83,7,21,19,3,3,2,7,21,19,3,3,2,3287,0.3760331811447145,0.8334013917392942
410000,47000,537836,4.9692656e-10,0.0,0.0,0.33023614,0.40933678,2796.0,0.3509116,0.0,0.0,-1.0,3.0,49517.14,21089.16,1,7,20,9,5,8,1,7,20,10,6,9,1977,0.5653772826853627,0.7367224173573232
410000,545,537836,4.1983726e-12,0.0,0.0,0.21767147,0.27412993,2726.0,0.0059648156,0.0,0.0,-1.0,5.0,116513.86,120586.44,1,10,22,9,1,3,1,10,23,9,1,3,1825,0.528063403599978,0.8798609270105694
410000,127442,537836,0.0,0.0,0.0,0.29278648,0.3490731,2976.0,0.4379921,-5.09737,7.7561307,2.5325468,9.0,204415.77,177865.33,15,20,17,9,2,2,15,20,17,9,2,2,1942,0.18912665609158696,0.9529746385461308
410000,127520,537836,0.0,0.0,0.0,0.17749827,0.21102251,1591.0,0.16547501,0.0,0.0,-1.0,6.0,79201.29,73844.94,6,13,19,16,3,4,10,16,20,16,3,4,1120,0.25799319919640784,0.739378467804369
410000,84931,537836,1.3553032e-10,0.756574,0.75658023,0.10836563,0.13401642,1873.0,0.6485505,0.0,0.0,-1.0,3.0,64543.477,67389.01,2,22,23,7,1,0,2,23,24,7,1,0,1399,0.5895615524258935,0.40223468083946734
410000,34561,537836,3.2225325e-10,0.0,0.0,0.21123813,0.22629061,3225.0,0.58471376,-0.97507936,1.3789704,0.0,5.0,66137.18,61663.586,5,27,22,3,3,2,5,27,22,3,3,2,2567,0.5168246624206674,0.8859809749721868
410000,147617,537836,1.3972885e-10,0.0,0.0,0.12728082,0.14608134,2973.0,0.050966084,0.0,0.0,-1.0,6.0,66369.12,55528.344,11,29,21,3,2,5,13,33,24,4,3,5,2016,0.57722933757028,0.9213841353734517
