runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,119700,537836,1.2590362e-10,0.33333334,5.252223,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3697128,0.0,50566.43,54054.344,1,2,1,3,9,40,1,2,1,3,9,40,1294,0.7625681555700808,0.21064678976565332
410000,43059,537836,1.3765335e-10,0.7,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8828351,0.0,79955.086,64267.332,3,2,0,7,10,38,3,2,0,8,11,42,2531,0.5022687187639696,0.9718849895419512
410000,43053,537836,1.4320443e-10,0.16666667,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13989,0.0,80588.734,93269.84,1,1,3,3,18,36,1,2,4,3,18,36,1301,0.9022247668801213,0.7940611432399761
410000,123951,537836,9.3066096e-11,0.2857143,20.536297,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4329298,0.0,247719.3,228187.72,6,3,1,2,7,37,6,3,1,2,9,46,1253,0.9018947185712655,0.20731915326834116
410000,89138,537836,1.8240647e-11,0.27272728,31.282751,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2119716,0.0,72792.3,113917.41,5,8,2,9,33,44,5,8,2,14,33,46,1945,0.9066607728518501,0.47618633959760204
410000,5557,537836,1.6172001e-10,0.64285713,65.58182,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2256701,0.0,114255.99,125887.86,0,1,1,9,14,32,0,1,1,9,15,33,1024,0.6868555009291822,0.31757200756409876
410000,45204,537836,1.4483723e-10,0.72727275,0.0,19.027132,6.342378,6.835273,9.179747,0.1463518,1.0530385,1.4757646,-0.11229357,2.7042572,0.0,1.2032969,0.0,1.1585163,0.0,40527.668,25324.492,0,0,0,8,11,31,0,0,0,8,11,31,1129,0.5694326759913432,0.8310461220491314
410000,38758,537836,1.3285033e-10,0.35714287,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.739902,0.0,46893.55,26154.553,2,2,1,5,14,31,2,2,1,5,17,33,1344,0.8354722698143929,0.20297018314290516
410000,28084,537836,1.3587045e-10,0.13953489,23.578867,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0464871,0.0,45763.723,44594.195,3,0,1,6,43,44,3,0,1,7,45,45,1028,0.9464307555001878,0.7422420256947042
410000,46453,537836,0.0,0.8181818,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0699604,0.0,158468.42,159959.38,7,1,1,9,11,41,8,2,1,11,12,41,2671,0.4003780626150839,0.9839379424136354
