runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,region,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,msvtx_nTGC_s,scoreNN1e,scoreNN2e,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,mass_point
410000,92667,537839,7.472428e-11,,,3.6634874,3.6634874,3.6634874,3.6634874,0.0,0.0,0.8170133,0.0,0.179,0.0,0.0,0.0,2.9269009,0.0,320249.25,323899.88,0,0,0,6,31,35,0,0,0,6,35,38,,,,,,,,,0.11428428,1.193,1.193,1.193,7.0,endcap,0.19354838,0.0,1108.0,0.8262732763145852,0.5705360197294971,0.5824179,0.58877367,0.39717633,0.45655176,2529.0,mS55
410000,61391,537839,1.9885274e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6790075,0.0,119849.66,119570.29,2,0,0,15,33,36,2,0,0,17,34,38,,,,,,,,,0.5517457,0.0,0.0,-1.0,6.0,endcap,0.45454547,26.181005,1271.0,0.7944531027832082,0.4806320824523946,0.0,0.0,0.3454137,0.43086934,2581.0,mS55
410000,61410,537839,2.2408361e-10,,,34.783363,5.7972274,6.3870506,8.689963,0.0,0.0,6.6110296,0.0,8.316077,0.0,-0.37598398,0.0,2.0932362,0.0,97395.6,114633.91,6,2,0,6,41,37,6,2,0,6,42,38,,,,,,,,,0.35074198,-0.8378642,3.0172312,1.8173362,6.0,endcap,0.14634146,25.018002,1650.0,0.9938986279200944,0.8130396548903652,0.5605644,0.5605644,0.3930603,0.44299346,3213.0,mS55
410000,61540,537839,2.127751e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.937978,0.0,121138.53,104391.28,0,0,1,6,26,37,0,0,1,7,27,39,,,,,,,,,0.14616704,0.0,0.0,-1.0,8.0,endcap,0.23076923,41.921753,1404.0,0.908646627302109,0.853746469738325,0.0,0.0,0.50653857,0.55508935,3133.0,mS55
410000,119344,537839,1.7243139e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7935977,0.0,41445.56,44792.285,4,0,0,9,19,34,6,0,0,10,20,36,,,,,,,,,0.89840746,0.0,0.0,-1.0,10.0,endcap,0.47368422,0.0,1548.0,0.74128340505244,0.8737838288540832,0.0,0.0,0.51460356,0.5611577,2689.0,mS55
410000,142331,537839,1.3206183e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.386614,0.0,131061.58,139780.36,0,0,0,6,25,39,0,0,0,6,28,42,,,,,,,,,0.15495831,0.0,0.0,-1.0,12.0,endcap,0.24,6.186953,1605.0,0.8356215873271655,0.9903456478126952,0.9947604,0.99496156,0.5074913,0.562289,3407.0,mS55
410000,19701,537839,0.0,,,38.110928,4.7638655,5.946232,9.730348,-0.5071256,0.0,3.937679,-0.018878732,13.904421,0.0,0.04024082,0.0,3.2132957,0.0,77401.52,63738.74,8,6,2,7,44,31,8,6,2,8,46,32,,,,,,,,,0.12870765,1.0654566,3.7000022,9.013893,8.0,endcap,0.1590909,0.0,2073.0,0.9935249715527722,0.9711445486901176,1.1659772,1.1659772,0.5168912,0.54532963,3805.0,mS55
410000,129032,537839,6.771145e-14,,,80.411766,11.487395,16.61545,40.42099,0.0,20.459625,2.979,5.1999035,7.160903,4.121041,2.1000464,0.16699417,2.7801683,0.5687326,139445.11,141478.39,3,3,0,12,32,33,4,3,0,12,34,35,,,,,,,,,0.15830731,-4.2824707,7.381773,1.8886179,12.0,endcap,0.375,24.830612,1459.0,0.994254642287388,0.9695353072812524,0.7170082,0.7170082,0.55480415,0.5917544,2833.0,mS55
410000,73241,537839,1.9548967e-10,,,19.749926,6.5833087,8.523705,13.98568,0.6207883,6.363727,1.3155113,-0.109627806,0.746239,0.0,0.73759305,0.0,1.971703,0.0,189890.38,177138.28,0,0,2,8,38,31,0,0,2,9,43,34,,,,,,,,,0.31514883,0.8553522,1.8688283,3.0256402,6.0,endcap,0.21052632,9.018487,1833.0,0.8886895807608647,0.8812401660888878,0.9994083,0.9994083,0.41828114,0.46328777,3484.0,mS55
410000,116539,537839,0.0,,,120.539955,12.053995,14.540713,32.485943,0.0,17.851864,12.684942,3.3454413,19.404669,0.52531135,9.879015,0.0,4.876527,0.0,71911.56,52323.25,3,1,2,7,23,36,3,1,2,9,25,37,,,,,,,,,0.13740706,-2.3189394,4.5445848,4.809,6.0,endcap,0.3043478,7.479721,1530.0,0.9999917818177786,0.7226879795845609,0.6684876,0.70499486,0.49774408,0.53366137,2975.0,mS55
410000,33648,537839,0.0,,,13.766389,6.8831944,6.896099,7.304876,0.03798741,0.0,1.1828544,2.9839432,2.5274663,0.026473474,0.18902832,-0.3028628,4.3650823,0.0,78629.336,82580.66,1,1,1,13,28,34,1,1,2,13,31,39,,,,,,,,,0.2663653,1.6856067,3.390215,4.627084,4.0,endcap,0.4642857,32.237938,1747.0,0.1847261844748108,0.3566559301160954,0.93971467,0.93971467,0.43652165,0.47621402,3068.0,mS55
410000,33644,537839,0.0,,,24.977537,24.977537,24.977537,24.977537,4.192,0.0,4.6060047,0.0,7.478963,0.0,0.040000502,0.0,2.1781194,0.0,132890.4,136809.6,3,1,0,12,29,34,3,1,0,14,30,34,,,,,,,,,0.26270974,1.1019696,1.1019696,1.1019696,4.0,endcap,0.41379312,0.0,1556.0,0.1488737172961651,0.4419798630765306,0.0,0.0,0.4641337,0.51816547,3315.0,mS55
410000,46915,537839,8.565063e-11,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2022064,0.0,331858.0,330504.62,1,4,1,10,25,33,3,4,1,13,25,36,,,,,,,,,0.090690255,0.0,0.0,-1.0,6.0,endcap,0.4,0.0,1529.0,0.8165387516468753,0.5634396781616309,0.0,0.0,0.41523373,0.4693843,2811.0,mS55
410000,132972,537839,1.7359494e-10,,,54.89775,10.97955,14.690548,29.941286,1.3300012,2.6120338,5.5789485,0.0,18.208977,0.0,2.657006,0.0,2.9741778,3.6849504,92869.37,99957.984,2,3,0,1,34,31,2,3,0,1,34,31,,,,,,,,,0.0872376,-3.7397933,9.227153,1.8256963,7.0,endcap,0.029411765,0.0,1243.0,0.5088507563687514,0.4961491734423704,0.0,0.0,0.46691668,0.51473606,2448.0,mS55
410000,133845,537839,1.67401e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4888908,0.0,119228.38,108137.54,1,0,1,7,23,45,2,1,2,8,23,45,,,,,,,,,0.40955973,0.0,0.0,-1.0,5.0,endcap,0.3043478,0.0,1254.0,0.8770900923337916,0.2509730346747392,0.0,0.0,0.3836442,0.4594752,2392.0,mS55
410000,67650,537839,2.0631037e-10,,,32.366005,6.473201,6.802515,8.26741,0.0,0.08759094,6.567585,0.0,7.0990386,0.0,0.47884828,0.0,3.0020123,0.0,178161.83,175429.39,0,4,3,12,35,36,1,5,4,14,40,43,,,,,,,,,0.10118806,-2.5061812,5.663181,1.5955226,5.0,endcap,0.34285715,0.0,1681.0,0.9458677396373444,0.6481502247141964,0.0,0.0,0.5338202,0.5775017,3208.0,mS55
410000,67710,537839,1.870116e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9511253,0.0,45575.37,46543.785,1,1,2,7,26,32,1,1,2,11,27,34,,,,,,,,,0.66107357,0.0,0.0,-1.0,12.0,endcap,0.26923078,60.32091,1031.0,0.9293138155358754,0.9124110269880316,0.68422604,0.70965457,0.55141133,0.6209775,2133.0,mS55
410000,87626,537839,5.5294963e-11,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8233724,0.0,424818.56,432090.2,6,0,3,4,18,40,6,1,4,7,19,41,,,,,,,,,0.07339454,0.0,0.0,-1.0,15.0,endcap,0.22222222,408.3819,2004.0,0.9752756480976642,0.9994366255240388,0.0,0.0,0.482377,0.528933,4813.0,mS55
