runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,region,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,msvtx_nTGC_s,scoreNN1e,scoreNN2e,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw
410000,139828,537836,1.3997525e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2153838,0.0,94273.69,92028.414,0,3,0,3,24,47,0,4,1,4,25,48,,,,,,,,,0.77495533,0.0,0.0,-1.0,6.0,endcap,0.125,66.26518,2544.0,0.9665142639593908,0.9658964406343856,0.0,0.0,0.48675075,0.5125338,5020.0
410000,42119,537836,3.3496476e-11,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5672863,0.0,72475.42,49867.758,2,1,0,9,11,41,2,1,0,9,11,41,,,,,,,,,0.53993523,0.0,0.0,-1.0,5.0,endcap,0.8181818,0.0,1001.0,0.4835014360282345,0.3987806550326144,1.0533094,1.0533094,0.40644643,0.43040186,2211.0
410000,88377,537836,0.0,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0638747,0.0,51648.734,48779.49,4,3,0,7,7,35,4,3,0,10,7,35,,,,,,,,,2.0070024,0.0,0.0,-1.0,8.0,endcap,1.0,0.0,927.0,0.359056123696847,0.7198808783279521,0.4768616,0.4768616,0.4267594,0.49614233,2115.0
410000,88405,537836,0.0,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3595095,0.0,108666.23,91685.75,4,3,2,17,46,48,4,3,2,20,47,50,,,,,,,,,0.21182013,0.0,0.0,-1.0,5.0,endcap,0.36956522,0.0,2036.0,0.8497036122862753,0.9642655755046006,0.9620029,0.9620029,0.56248605,0.60071063,4162.0
410000,60823,537836,1.9640593e-10,,,25.979086,8.659696,10.0954075,15.818221,0.9282008,0.41065443,0.8750952,8.718839,3.669309,0.05151293,0.04218232,0.0,1.3157469,0.0,110104.516,56845.51,1,1,3,9,23,31,2,2,4,15,24,36,,,,,,,,,2.1484952,-1.2002527,2.6079934,0.8259556,12.0,endcap,0.39130434,9.7829,1406.0,0.6946550797014344,0.9135131528971364,0.0,0.0,0.2781613,0.33327052,2503.0
410000,60833,537836,2.0827674e-10,,,24.471453,8.157151,8.226151,9.258205,0.0,0.73150563,2.9506464,0.0,4.692136,0.0,1.4567934,0.0,1.9143738,0.0,58640.184,77978.53,3,2,1,5,19,35,3,4,2,5,20,40,,,,,,,,,1.8615426,-1.2751156,1.6146002,-0.0980884,5.0,endcap,0.2631579,0.0,1262.0,0.9307514362936936,0.3973321103819545,0.0,0.0,0.41403717,0.47474995,2643.0
410000,114501,537836,4.3954645e-12,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.895504,0.0,80820.57,85708.88,0,1,1,3,16,31,0,1,1,3,16,31,,,,,,,,,0.15303373,0.0,0.0,-1.0,6.0,endcap,0.1875,0.0,2010.0,0.9109345130412668,0.9454173535117062,0.96679556,0.96679556,0.3977696,0.42688194,3758.0
410000,50975,537836,1.2779669e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3106616,0.0,96708.086,86499.44,1,1,0,15,50,59,1,1,0,15,52,61,,,,,,,,,0.17451477,0.0,0.0,-1.0,5.0,endcap,0.3,0.0,1520.0,0.8003384359347616,0.7006868980756549,0.45970592,0.4632368,0.43238166,0.48601717,3075.0
410000,130915,537836,1.3330882e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9742193,0.0,47152.383,48746.32,3,2,0,10,2,32,3,2,0,10,2,32,,,,,,,,,0.08198404,0.0,0.0,-1.0,5.0,endcap,5.0,6.3843155,1082.0,0.239596288095842,0.1517021151417125,0.0,0.0,0.3589328,0.39899084,2071.0
410000,42798,537836,0.0,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9247358,0.0,42364.234,53418.02,4,1,0,13,13,40,4,1,0,14,13,41,,,,,,,,,0.14257658,0.0,0.0,-1.0,10.0,endcap,1.0,0.0,1449.0,0.383206841827586,0.7573935698039966,0.0,0.0,0.37100238,0.44244385,2433.0
