runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,90288,537837,1.08768446e-10,0.0,0.0,0.1090985,0.15291053,1712.0,0.00097322464,0.0,0.0,-1.0,4.0,267697.1,279242.22,3,14,19,10,1,4,3,16,21,11,1,4,1287,0.7508578691455738,0.4446575056852815
410000,57631,537837,5.446992e-11,0.0,0.0,0.22982311,0.27301037,3946.0,0.067523,-2.021415,4.6915193,3.8240466,3.0,381599.22,403616.2,2,20,39,6,1,3,2,20,39,6,1,3,2663,0.3911158345193265,0.838253134871265
410000,131295,537837,5.4647103e-14,0.0,0.0,0.21379519,0.26147106,2554.0,0.2607957,0.0,0.0,-1.0,3.0,66339.02,67529.125,9,10,18,5,2,4,13,11,21,5,2,4,1858,0.5266038571423165,0.6373089276844328
410000,126668,537837,4.599761e-10,0.0,0.0,0.17180431,0.222294,3081.0,0.703392,0.0,0.0,-1.0,10.0,59120.453,42168.742,1,23,26,12,1,2,1,24,27,12,1,3,2291,0.5291371874926343,0.9643090199410091
410000,147757,537837,2.4138824e-10,0.0,0.0,0.527769,0.6532722,4606.0,0.50213027,0.0,0.0,-1.0,4.0,328461.6,327208.88,1,15,25,10,2,9,1,16,26,19,2,11,2781,0.5207530982996669,0.885778315946709
410000,123839,537837,1.0932626e-10,0.0,0.0,0.25280982,0.31416586,2640.0,2.1402125,0.0,0.0,-1.0,4.0,62789.7,37259.844,6,22,22,14,2,3,9,24,24,15,3,4,1853,0.48035586246865813,0.6325313513350208
410000,123958,537837,1.2513778e-10,0.0,0.0,0.26821837,0.3423603,3943.0,0.0904547,0.0,0.0,-1.0,5.0,94700.77,100156.12,2,9,29,6,0,11,4,10,30,7,0,11,2826,0.6096023681866123,0.9416779406329698
410000,137570,537837,1.213741e-10,0.0,0.0,0.19464034,0.26087207,3843.0,0.32172394,0.0,0.0,0.0,4.0,55683.453,53195.64,3,37,22,10,1,2,3,40,25,10,1,2,2839,0.6852697380190367,0.9058497636863273
410000,110500,537837,1.2746358e-10,0.0,0.0,0.15805447,0.1812074,2206.0,0.4616803,0.0,0.0,-1.0,7.0,231480.62,229953.73,9,17,20,6,1,0,10,23,25,6,1,0,1515,0.5697802066792492,0.8958081826077988
410000,126344,537837,4.512615e-10,0.0,0.0,0.23356539,0.27829143,3266.0,0.7737391,24.175964,24.175964,24.175964,4.0,50688.016,62707.99,2,23,22,11,2,5,2,25,24,11,2,5,2413,0.604369345947003,0.9249876554776904
410000,134647,537837,1.08379944e-10,0.0,0.0,0.2364501,0.25909266,3353.0,0.12824823,0.0,0.0,-1.0,3.0,56382.797,117039.56,9,16,17,5,0,1,13,17,20,5,0,1,2504,0.616451729354384,0.8368667949952691
410000,148409,537837,1.0913728e-10,0.0,0.0,0.20517568,0.22833878,2880.0,0.117654264,3.324351,13.201861,34.07258,9.0,134525.11,104252.84,0,18,16,5,0,1,0,19,17,5,0,2,1895,0.2900953947154882,0.9420441445200783
410000,43751,537837,4.6968884e-10,0.0,0.0,0.17495002,0.22813573,3193.0,0.09101343,0.0,0.0,-1.0,6.0,53264.605,78387.72,2,16,17,10,5,7,2,18,18,10,5,7,2318,0.6176073541894236,0.930844137869754
410000,113504,537837,1.08945866e-10,0.0,0.0,0.264322,0.33210403,2537.0,0.39877796,0.0,0.0,-1.0,7.0,71473.734,84259.15,13,13,19,6,0,1,16,17,19,6,0,1,1785,0.5876281586866392,0.9180861865949171
410000,88386,537837,0.0,0.92664623,0.92664623,0.33481655,0.39303833,4200.0,0.14248896,0.0,0.0,-1.0,5.0,68632.11,73825.07,6,17,16,5,3,0,7,18,17,5,3,0,2745,0.6051872871507514,0.9374745250454816
410000,99941,537837,1.5672383e-10,0.0,0.0,0.25722933,0.29774615,2358.0,1.013581,0.0,0.0,-1.0,4.0,164213.58,159992.36,13,26,31,5,4,1,14,28,33,5,6,4,1584,0.5305093441495196,0.7489120798155762
410000,10074,537837,1.2812712e-10,0.0,0.0,0.24777125,0.29950812,3010.0,0.73321724,0.0,0.0,-1.0,3.0,112361.18,104610.26,7,17,17,5,0,2,8,18,17,5,0,3,2259,0.6496941548175095,0.7673825755250578
410000,42676,537837,1.07116614e-10,0.0,0.0,0.2107131,0.27621016,2752.0,0.4716034,0.0,0.0,-1.0,4.0,145434.22,150236.81,5,15,20,3,1,1,8,16,24,3,1,1,2024,0.5903201517427739,0.8337001055419705
410000,42685,537837,1.1673007e-10,0.9761895,0.97618955,0.24318703,0.27394223,2429.0,0.4483413,6.5435,8.793585,12.418,4.0,76793.13,66947.25,6,20,25,5,3,1,10,22,27,6,4,2,1833,0.8010068264766955,0.616234515861183
