runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,135085,537837,1.7799086e-10,0.79526967,0.80772436,0.5001396,0.55486053,3076.0,0.11094189,-1.7063422,1.7063422,-1.7063422,5.0,69545.2,81067.445,2,1,0,8,40,33,2,1,0,14,43,33,1389,0.9190934780760834,0.7875664443718838
410000,116768,537837,3.8944477e-12,0.8973733,0.9147563,0.40831548,0.49705023,2223.0,0.35729963,0.0,0.0,-1.0,7.0,40937.92,54697.4,5,0,1,12,48,42,5,0,1,16,49,43,909,0.9019654770437318,0.61309395509066
410000,112362,537837,4.6313542e-10,0.0,0.0,0.3851335,0.43793333,2638.0,0.55066854,0.0,0.0,-1.0,10.0,52827.695,57502.37,0,1,0,5,8,33,0,1,0,5,8,34,1042,0.6406140681661648,0.8373626524088098
410000,112447,537837,4.6853765e-10,0.0,0.0,0.39189714,0.43936908,2758.0,0.04505396,-2.392905,2.392905,-2.392905,3.0,71562.56,74281.82,2,1,1,8,46,34,2,1,1,9,50,39,1302,0.9158641352937575,0.24826307794956604
410000,7329,537837,1.2353848e-10,0.48423323,0.5773075,0.5061188,0.57791644,2262.0,0.49368596,1.608251,2.069909,4.013,9.0,62542.22,65297.05,0,0,0,13,68,52,0,0,0,16,71,58,1215,0.905649317547637,0.6369649908346873
410000,83713,537837,9.850796e-11,1.0917861,1.0917861,0.4433654,0.49940634,4879.0,0.07578683,0.0,0.0,-1.0,10.0,182460.88,202209.11,0,3,1,15,21,35,0,3,1,17,22,39,2787,0.564400352524673,0.9980312228272854
410000,27091,537837,0.0,0.0,0.0,0.34976023,0.46516895,2525.0,0.4491508,5.701553,12.146454,29.516218,8.0,71746.92,64580.246,2,2,0,3,16,35,2,2,0,4,18,36,1307,0.9921070608073518,0.6504943795427371
410000,73145,537837,7.5110175e-11,0.6480131,0.69711953,0.5207134,0.5506085,2648.0,0.4176507,0.0,0.0,-1.0,7.0,265982.84,264442.2,3,1,1,7,10,43,3,1,1,7,10,43,1371,0.6617059594424315,0.7805391661283302
410000,73234,537837,1.15277794e-10,0.0,0.0,0.39749297,0.45837244,2648.0,0.2207427,-1.06013,1.06013,-1.06013,7.0,61854.656,74523.17,3,6,2,3,39,39,3,6,2,3,39,39,1288,0.9227835398573291,0.6387741785055594
410000,32747,537837,1.1680344e-10,0.0,0.0,0.46180886,0.50679713,3271.0,0.10510206,1.935,1.935,1.935,5.0,62837.47,51177.363,2,4,2,8,15,39,2,4,2,8,15,40,1763,0.6802022853962697,0.5080455252731051
410000,139059,537837,4.699399e-10,0.0,0.0,0.47375095,0.53365004,3105.0,2.3531978,0.0,0.0,-1.0,5.0,40821.305,50246.24,3,3,1,9,59,58,5,3,1,12,59,58,1720,0.9365120337676467,0.504049198784154
410000,129032,537837,2.9284772e-10,0.54114574,0.54114574,0.45208877,0.49774718,3686.0,0.6722206,0.0,0.0,-1.0,4.0,73637.07,65715.766,0,4,1,15,15,58,0,4,1,16,17,61,2003,0.4651254500054559,0.8437643734527024
410000,120733,537837,0.0,0.0,0.0,0.55434865,0.5968807,5225.0,0.37618756,0.0,0.0,-1.0,12.0,201624.25,219179.42,4,1,3,11,14,35,4,1,3,13,14,38,2667,0.5322143186678054,0.9983323773129195
410000,120816,537837,0.0,0.0,0.0,0.4126738,0.5031928,3245.0,0.8974083,0.0,0.0,-1.0,4.0,41681.0,44414.246,1,0,3,9,8,32,1,0,3,9,8,32,1523,0.10808362309656794,0.6000727699459647
410000,118587,537837,5.2677098e-14,0.0,0.0,0.25639322,0.31441984,2330.0,0.010140061,0.0,0.0,-1.0,9.0,58694.004,53633.402,7,1,2,5,22,43,9,1,2,7,23,45,1028,0.8818999963293168,0.6237132685789655
410000,42448,537837,1.1126077e-10,0.89206415,0.89206415,0.39786875,0.42851725,3454.0,0.28753233,-1.8303965,6.896359,7.137112,7.0,64093.81,68164.984,1,1,2,5,19,44,1,1,2,8,20,46,1830,0.7907804372277942,0.9114167037230472
410000,46929,537837,1.2631227e-10,0.6194645,0.6194645,0.5305842,0.58660597,4122.0,0.16668546,0.0,0.0,-1.0,6.0,125705.8,123352.89,2,2,0,11,15,41,2,2,0,11,16,44,2076,0.5550550304479824,0.9673983012678251
410000,47329,537837,1.0785122e-10,0.73440886,0.74075365,0.37250784,0.42851725,2778.0,0.5647106,0.0,0.0,-1.0,6.0,49092.13,58283.773,0,0,0,7,25,31,0,0,0,9,26,34,1471,0.8843852810603914,0.7337754680728025
410000,57656,537837,1.804662e-10,0.8727826,0.8727825,0.43941692,0.4694709,3662.0,0.4139185,3.586393,6.2984195,10.864,3.0,87779.46,89261.74,2,1,3,9,17,34,2,1,3,11,19,36,1863,0.5485014773419723,0.5380620323601784
410000,57751,537837,1.1590159e-10,0.0,0.0,0.42985865,0.46926984,2257.0,0.8433472,0.0,0.0,-1.0,5.0,73561.82,100378.32,4,2,1,7,27,36,4,2,1,7,27,37,1038,0.9021638810950827,0.26382119145835325
