runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,134865,537837,1.2832854e-10,0.2647059,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9904187,0.0,61074.43,72477.29,0,0,1,9,34,33,0,0,1,11,40,42,1706,0.8666395224419705,0.7084103183174743
410000,116518,537837,3.9613074e-12,0.31578946,5.4683647,0.17699842,0.17699842,0.17699842,0.17699842,0.0,0.0,-0.16600215,0.0,0.31299973,0.0,0.030000856,0.0,2.1735528,0.0,53097.734,52942.816,2,0,4,6,19,37,2,0,4,6,20,38,1122,0.8973069769048801,0.2863355023226425
410000,134366,537837,1.0732748e-10,0.29411766,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0598867,0.0,216599.84,221558.48,1,2,2,5,17,36,1,2,2,5,18,39,2571,0.8413303548496278,0.9670267799073392
410000,134372,537837,1.4288061e-10,0.1,5.2506876,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5594603,0.0,96294.87,100904.27,0,0,0,2,20,34,0,0,0,2,21,35,1871,0.9541925884999142,0.9837150108013885
410000,133918,537837,1.5691687e-10,0.2857143,17.680494,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8071877,0.0,43487.69,46880.574,0,1,1,6,21,37,0,1,1,6,22,39,1507,0.8987173223302644,0.9688043420516879
410000,138808,537837,1.1515425e-10,0.13793103,8.648379,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2191565,0.0,113430.695,107966.61,2,0,0,4,29,32,2,0,0,5,30,33,937,0.9431582682320367,0.9511364403326443
410000,138861,537837,1.11200965e-10,0.10526316,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7238457,0.0,102773.91,95878.69,1,0,1,2,19,34,1,0,1,4,22,38,1819,0.9456576176250878,0.977184366568646
410000,110049,537837,9.110824e-11,0.26666668,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9659518,0.0,182866.33,198071.97,1,2,1,4,15,45,1,2,1,4,15,47,1734,0.8910571790073848,0.9075718762295746
410000,118826,537837,0.0,0.61538464,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571521,0.0,92603.336,59945.164,11,1,1,8,13,36,11,1,1,8,13,36,1591,0.642907599837814,0.6703742798597135
410000,108986,537837,1.2883587e-10,0.26666668,0.0,2.3302348,2.3302348,2.3302348,2.3302348,0.0,0.0,0.089417115,0.02571403,0.6146104,0.0,-0.0061310804,0.0,3.9256892,0.0,62452.82,52023.22,0,4,1,4,15,48,0,4,1,4,16,49,1700,0.48916927464218374,0.6399968279598035
410000,3168,537837,3.252675e-11,0.5555556,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5541677,0.0,57387.01,53739.207,2,1,0,10,18,31,2,1,0,10,19,32,1425,0.6952631682175144,0.7240440835007221
